"","site","dat"
"310","16095000019","fia_small"
"311","16095000021","fia_small"
"312","16103000005","fia_small"
"313","16103000039","fia_small"
"314","21020020842","fia_small"
"315","21110007367","fia_small"
"316","21110047487","fia_small"
"317","21122028549","fia_small"
"318","21122035861","fia_small"
"319","21122037894","fia_small"
"320","21122038896","fia_small"
"321","21122048528","fia_small"
"322","21122049568","fia_small"
"323","21122054560","fia_small"
"324","21201010733","fia_small"
"325","21201012623","fia_small"
"326","21201013033","fia_small"
"327","21201014362","fia_small"
"328","21201018093","fia_small"
"329","21201021336","fia_small"
"330","21201022505","fia_small"
"331","21201023683","fia_small"
"332","21201028733","fia_small"
"333","21201032589","fia_small"
"334","21201041788","fia_small"
"335","21201043663","fia_small"
"336","21201046847","fia_small"
"337","21201049204","fia_small"
"338","21201054684","fia_small"
"339","21201057760","fia_small"
"340","21220000239","fia_small"
"341","21220000940","fia_small"
"342","21232023438","fia_small"
"343","21261004332","fia_small"
"344","21261048402","fia_small"
"345","21280001543","fia_small"
"346","21280004452","fia_small"
"347","21280015625","fia_small"
"348","21280015846","fia_small"
"349","21280017508","fia_small"
"350","21280021015","fia_small"
"351","21280025550","fia_small"
"352","21280030083","fia_small"
"353","21280056363","fia_small"
"354","21280057156","fia_small"
"355","21280061381","fia_small"
"356","41003081393","fia_small"
"357","41003085211","fia_small"
"358","41003086306","fia_small"
"359","41003091138","fia_small"
"360","41009081101","fia_small"
"361","41009081616","fia_small"
"362","41009082241","fia_small"
"363","41009082749","fia_small"
"364","41009087000","fia_small"
"365","41009087218","fia_small"
"366","41009089597","fia_small"
"367","41009092041","fia_small"
"368","41011086549","fia_small"
"369","41011087466","fia_small"
"370","41011087884","fia_small"
"371","41011089216","fia_small"
"372","41011091181","fia_small"
"373","41011091454","fia_small"
"374","41011092081","fia_small"
"375","41019086379","fia_small"
"376","41019089177","fia_small"
"377","41019091161","fia_small"
"378","41023081596","fia_small"
"379","41023082139","fia_small"
"380","42001080787","fia_small"
"381","42001081069","fia_small"
"382","42001084339","fia_small"
"383","42001085333","fia_small"
"384","42001086047","fia_small"
"385","42001086154","fia_small"
"386","42001086817","fia_small"
"387","42001088420","fia_small"
"388","42001088530","fia_small"
"389","42001091783","fia_small"
"390","42001091967","fia_small"
"391","42001092064","fia_small"
"392","42005081555","fia_small"
"393","42005081855","fia_small"
"394","42005082076","fia_small"
"395","42005083565","fia_small"
"396","42005084241","fia_small"
"397","42005084544","fia_small"
"398","42005084944","fia_small"
"399","42005086037","fia_small"
"400","42005086309","fia_small"
"401","42005087514","fia_small"
"402","42005087644","fia_small"
"403","42005088432","fia_small"
"404","42005089284","fia_small"
"405","42005089364","fia_small"
"406","42005089582","fia_small"
"407","42007082141","fia_small"
"408","42007082366","fia_small"
"409","42007083323","fia_small"
