"","s0","n0","source","dat","site","singletons","n_comparisons","mean_r2","mean_r2_log","mean_cd","mean_prop_off","mean_div"
"17",6,3997,"sampled","portal_plants","2003_summer",TRUE,3998,0.673687202835452,0.635708972004253,0.827694620528097,0.169962326672468,0.105336956881277
"18",45,9575,"sampled","portal_plants","2004_summer",TRUE,3998,0.878207294098999,0.89703029372808,0.923781085220965,0.0902279076875252,0.0296158568580409
"19",40,12770,"sampled","portal_plants","2005_summer",TRUE,3999,0.875452609804074,0.893753784711634,0.921367601365888,0.0916104123916649,0.0304915919214483
"20",40,6478,"sampled","portal_plants","2006_summer",TRUE,4000,0.873780910867941,0.894271098087911,0.919186850986145,0.0947995909231244,0.0322795781603255
"21",43,8619,"sampled","portal_plants","2007_summer",TRUE,4000,0.873720676657101,0.896922970353034,0.920436408443719,0.0921291333101288,0.0305892190232869
"22",31,16036,"sampled","portal_plants","2008_summer",TRUE,3999,0.856368641896322,0.86971381084597,0.911262450613434,0.101350714954867,0.0368451780132003
"23",1,2,"sampled","portal_plants","2009_summer",TRUE,1,NA,NA,0,0,0
"24",43,1823,"sampled","portal_plants","2011_summer",TRUE,4000,0.863250712961162,0.877771740847826,0.914730095866409,0.104088315962699,0.0387665261480794
"25",5,1024,"sampled","portal_plants","2012_summer",TRUE,3999,0.657824121486409,0.603569508336604,0.821451279312384,0.181650637268692,0.118751857840779
"26",7,123,"sampled","portal_plants","2013_summer",TRUE,3999,0.668136186628442,0.67025989988124,0.816918095596095,0.171530687549936,0.102516427504085
"27",41,15395,"sampled","portal_plants","2014_summer",TRUE,3999,0.870109381957456,0.889845786622708,0.919843562063587,0.0929407246257813,0.0316930872052363
"28",43,22825,"sampled","portal_plants","2015_summer",TRUE,3999,0.882960485747995,0.895310113053508,0.92519916784835,0.0895668933662769,0.0288430753373196
"29",37,2927,"sampled","portal_plants","2016_summer",TRUE,3998,0.855459143392604,0.876989580660854,0.914206509114221,0.10207256002446,0.037961273276657
"30",47,10539,"sampled","portal_plants","2017_summer",TRUE,4000,0.883197041412449,0.900621070887837,0.92476714899287,0.0889195606793814,0.0289100434243285
"31",18,250,"sampled","portal_plants","2018_summer",TRUE,3999,0.72859240462585,0.765650296026523,0.856852657639736,0.149064266066517,0.078161881899787
"32",11,679,"sampled","portal_plants","2019_summer",TRUE,3999,0.718689677750416,0.746434000134254,0.850904674092209,0.154266107027493,0.0836621419479787
"33",26,21803,"sampled","portal_plants","1983_winter",TRUE,3999,0.836511298017622,0.84932216371362,0.904010660236074,0.107522982199478,0.0418516526773293
"34",25,16159,"sampled","portal_plants","1985_winter",TRUE,3998,0.836436701351205,0.848147653680787,0.903815407659423,0.109302005418205,0.0430687206837164
"35",27,6835,"sampled","portal_plants","1986_winter",TRUE,3996,0.837321048287407,0.857161878862945,0.901944173569201,0.109484136660435,0.042971811567196
"36",31,10070,"sampled","portal_plants","1988_winter",TRUE,3998,0.856712211417265,0.873435645611949,0.912492946303854,0.101444242478737,0.0369268349659956
