"source","dat","site","singletons","s0","n0","sim","nparts","real_po","real_r2","best_po_sim","sim_pos_from_best","sim_r2_from_best","sim_r2_from_best_median","ncomparisons","real_po_percentile","real_po_percentile_excl","real_r2_percentile","real_r2_percentile_excl"
"observed","misc_abund_short","479_jacknife_1",FALSE,7,333,-99,"425062519",0.309309309309309,0.673288606197903,3095,0.122382697776546,0.757472027217783,0.875732679926972,3999,99.1247811952988,98.9997499374844,15.4288572143036,15.4288572143036
"observed","misc_abund_short","479_jacknife_10",FALSE,7,333,-99,"425062519",0.315315315315315,0.656416443515876,690,0.122176940631554,0.778616884406937,0.875846540226899,3999,99.0247561890473,98.9747436859215,12.578144536134,12.578144536134
"observed","misc_abund_short","479_jacknife_2",FALSE,7,333,-99,"425062519",0.321321321321321,0.651074118850553,1026,0.123170432247702,0.781998320856388,0.86963100919567,3999,99.1247811952988,99.074768692173,13.0782695673918,13.0782695673918
"observed","misc_abund_short","479_jacknife_3",FALSE,7,333,-99,"425062519",0.333333333333333,0.643395489057615,2258,0.124525876213798,0.776205733325519,0.868359098000284,3999,99.4248562140535,99.3748437109277,11.5778944736184,11.5778944736184
"observed","misc_abund_short","479_jacknife_4",FALSE,7,333,-99,"425062519",0.291291291291291,0.70121761312234,759,0.124339643469426,0.743945632360252,0.864376232047311,3999,98.9497374343586,98.8247061765441,19.5298824706177,19.5298824706177
"observed","misc_abund_short","479_jacknife_5",FALSE,7,333,-99,"425062519",0.288288288288288,0.710650677850961,454,0.122692835371005,0.713175300266974,0.86351116881226,3999,99.2998249562391,99.2748187046762,21.8304576144036,21.8304576144036
"observed","misc_abund_short","479_jacknife_6",FALSE,7,333,-99,"425062519",0.327327327327327,0.627403454154622,2711,0.124127127878066,0.804431996805898,0.873780443737804,3999,99.0247561890473,98.9497374343586,9.20230057514379,9.20230057514379
"observed","misc_abund_short","479_jacknife_7",FALSE,7,333,-99,"425062519",0.327327327327327,0.649010276570798,2629,0.1223902071614,0.758262026886637,0.874994903575651,3999,99.3748437109277,99.2998249562391,14.2035508877219,14.2035508877219
"observed","misc_abund_short","479_jacknife_8",FALSE,7,333,-99,"425062519",0.321321321321321,0.66244174575637,1634,0.125326376639205,0.732750984881256,0.864834455714215,3999,99.1747936984246,99.1747936984246,16.929232308077,16.929232308077
"observed","misc_abund_short","479_jacknife_9",FALSE,7,333,-99,"425062519",0.333333333333333,0.640429536145245,1319,0.122697341001917,0.764351507952426,0.873749934779206,3999,99.4498624656164,99.4248562140535,12.2280570142536,12.2280570142536
"observed","misc_abund_short","716_jacknife_1",FALSE,3,44,-99,"161",0.0454545454545455,0.979910714285714,133,0.133806818181818,-2.33592944489624,0.809963254866206,160,11.25,3.75,96.25,95.625
"observed","misc_abund_short","716_jacknife_10",FALSE,3,44,-99,"161",0.0681818181818182,0.959847036328872,61,0.133806818181818,-2.33592944489624,0.809963254866206,160,22.5,11.25,90,89.375
"observed","misc_abund_short","716_jacknife_2",FALSE,3,44,-99,"161",0.113636363636364,0.910518053375196,39,0.133806818181818,-2.33592944489624,0.809963254866206,160,50.625,37.5,74.375,73.75
"observed","misc_abund_short","716_jacknife_3",FALSE,3,44,-99,"161",0.181818181818182,0.817116060961313,37,0.133806818181818,-2.33592944489624,0.809963254866206,160,82.5,74.375,51.25,50.625
"observed","misc_abund_short","716_jacknife_4",FALSE,3,44,-99,"161",0.113636363636364,0.913767019667171,73,0.133806818181818,-2.33592944489624,0.809963254866206,160,50.625,37.5,76.25,75.625
"observed","misc_abund_short","716_jacknife_5",FALSE,3,44,-99,"161",0.136363636363636,0.88814913448735,90,0.133806818181818,-2.33592944489624,0.809963254866206,160,63.125,50.625,67.5,66.875
"observed","misc_abund_short","716_jacknife_6",FALSE,3,44,-99,"161",0.136363636363636,0.888121546961326,68,0.133806818181818,-2.33592944489624,0.809963254866206,160,63.125,50.625,66.875,66.25
"observed","misc_abund_short","716_jacknife_7",FALSE,3,44,-99,"161",0.136363636363636,0.888121546961326,149,0.133806818181818,-2.33592944489624,0.809963254866206,160,63.125,50.625,66.875,66.25
"observed","misc_abund_short","716_jacknife_8",FALSE,3,44,-99,"161",0.181818181818182,0.830645161290323,137,0.133806818181818,-2.33592944489624,0.809963254866206,160,82.5,74.375,53.125,52.5
"observed","misc_abund_short","716_jacknife_9",FALSE,3,44,-99,"161",0.0454545454545455,0.979910714285714,149,0.133806818181818,-2.33592944489624,0.809963254866206,160,11.25,3.75,96.25,95.625
"observed","misc_abund_short","19_jacknife_1",FALSE,15,681,-99,"97373313796921603",0.145374449339207,0.838834114296736,1233,0.105983911543231,0.875437201315938,0.909395173519345,3999,84.4211052763191,84.0210052513128,24.0810202550638,24.0810202550638
"observed","misc_abund_short","19_jacknife_10",FALSE,15,681,-99,"97373313796921603",0.101321585903084,0.924994170531388,1162,0.102290256852025,0.862870004686377,0.906713904679796,3999,58.6896724181045,57.0142535633909,61.4153538384596,61.4153538384596
"observed","misc_abund_short","19_jacknife_2",FALSE,15,681,-99,"97373313796921603",0.092511013215859,0.918118311723015,2438,0.102408494928431,0.874825920758709,0.909636879274871,3999,47.7369342335584,45.7114278569642,55.0887721930483,55.0887721930483
"observed","misc_abund_short","19_jacknife_3",FALSE,15,681,-99,"97373313796921603",0.101321585903084,0.907683356039964,3563,0.104182066074522,0.860054210491632,0.909110156675337,3999,55.2638159539885,53.6134033508377,49.3373343335834,49.3373343335834
"observed","misc_abund_short","19_jacknife_4",FALSE,15,681,-99,"97373313796921603",0.121879588839941,0.898083111094417,277,0.102126486100233,0.875392773151673,0.905799913982104,3999,77.8694673668417,76.8692173043261,45.2863215803951,45.2863215803951
"observed","misc_abund_short","19_jacknife_5",FALSE,15,681,-99,"97373313796921603",0.126284875183554,0.890322003349142,3761,0.107661643751613,0.86206678589488,0.905545861467263,3999,73.5933983495874,72.6681670417604,42.785696424106,42.785696424106
"observed","misc_abund_short","19_jacknife_6",FALSE,15,681,-99,"97373313796921603",0.0807635829662261,0.951636139123276,2377,0.105670323601458,0.842789069427984,0.901884676758528,3999,27.2818204551138,25.7064266066517,80.1200300075019,80.1200300075019
"observed","misc_abund_short","19_jacknife_7",FALSE,15,681,-99,"97373313796921603",0.1071953010279,0.891174946427821,749,0.104919768855577,0.868402266082584,0.908207228813379,3999,61.9404851212803,60.415103775944,41.0352588147037,41.0352588147037
"observed","misc_abund_short","19_jacknife_8",FALSE,15,681,-99,"97373313796921603",0.116005873715125,0.883911327567386,3670,0.106754295034845,0.874393670034289,0.908189745292649,3999,68.5921480370093,67.4168542135534,38.1845461365341,38.1845461365341
"observed","misc_abund_short","19_jacknife_9",FALSE,15,681,-99,"97373313796921603",0.0998531571218796,0.917686490444873,2167,0.1035457102161,0.871861862604454,0.908325382668934,3999,57.0392598149537,55.5138784696174,55.7139284821205,55.7139284821205
"observed","misc_abund_short","29_jacknife_1",FALSE,12,186,-99,"2003882972",0.0806451612903226,0.940174491067719,1782,0.117144877617254,0.839334560723247,0.890477475047208,3999,26.8567141785446,21.3553388347087,77.8194548637159,77.8194548637159
"observed","misc_abund_short","29_jacknife_10",FALSE,12,186,-99,"2003882972",0.0645161290322581,0.968561064087062,326,0.118623741956995,0.832371668808142,0.884528642309427,3999,9.50237559389848,6.00150037509377,96.0490122530633,96.0490122530633
"observed","misc_abund_short","29_jacknife_2",FALSE,12,186,-99,"2003882972",0.0860215053763441,0.937314697162219,3680,0.118087317528307,0.819986530618746,0.875330785063217,3999,27.1817954488622,21.9054763690923,80.0200050012503,80.0200050012503
"observed","misc_abund_short","29_jacknife_3",FALSE,12,186,-99,"2003882972",0.0913978494623656,0.946232755571277,1276,0.118634497334011,0.813343732838411,0.878332901889723,3999,32.4081020255064,26.3815953988497,85.7214303575894,85.7214303575894
"observed","misc_abund_short","29_jacknife_4",FALSE,12,186,-99,"2003882972",0.134408602150538,0.867730900798176,2127,0.117818433102899,0.837659045947252,0.887390029325513,3999,73.4683670917729,70.3675918979745,41.5103775943986,41.5103775943986
"observed","misc_abund_short","29_jacknife_5",FALSE,12,186,-99,"2003882972",0.102150537634409,0.919348871624121,2650,0.118928925779832,0.844424059241063,0.887935386168602,3999,49.7624406101525,44.5861465366342,67.4168542135534,67.4168542135534
"observed","misc_abund_short","29_jacknife_6",FALSE,12,186,-99,"2003882972",0.0967741935483871,0.936779471922648,1971,0.114890281710212,0.817310815841451,0.890518783542039,3999,42.2355588897224,36.2590647661915,75.51887971993,75.51887971993
"observed","misc_abund_short","29_jacknife_7",FALSE,12,186,-99,"2003882972",0.0698924731182796,0.951241534988713,1400,0.11650224384053,0.803635561109912,0.888225718936517,3999,14.3035758939735,10.2275568892223,84.3210802700675,84.3210802700675
"observed","misc_abund_short","29_jacknife_8",FALSE,12,186,-99,"2003882972",0.0967741935483871,0.929618768328446,690,0.117256464653798,0.832265392404708,0.890084985835694,3999,42.6606651662916,36.8092023005751,72.7181795448862,72.7181795448862
"observed","misc_abund_short","29_jacknife_9",FALSE,12,186,-99,"2003882972",0.0698924731182796,0.967880924402663,680,0.116510310373292,0.820024036981261,0.891685736079329,3999,15.8289572393098,11.7529382345586,93.5983995999,93.5983995999
