"source","dat","site","singletons","s0","n0","sim","nparts","real_po","real_r2","best_po_sim","sim_pos_from_best","sim_r2_from_best","sim_r2_from_best_median","ncomparisons","real_po_percentile","real_po_percentile_excl","real_r2_percentile","real_r2_percentile_excl"
"observed","mcdb","1537_jacknife_3",FALSE,2,8,-99,"4",0,1,-99,0.125,0.768518518518518,0.75,3,33.3333333333333,0,100,66.6666666666667
"observed","mcdb","1537_jacknife_4",FALSE,2,8,-99,"4",0,1,-99,0.125,0.768518518518518,0.75,3,33.3333333333333,0,100,66.6666666666667
"observed","mcdb","1537_jacknife_5",FALSE,2,8,-99,"4",0,1,-99,0.0833333333333333,-Inf,0.75,3,33.3333333333333,0,100,66.6666666666667
"observed","mcdb","1537_jacknife_6",FALSE,2,8,-99,"4",0,1,-99,0.125,-Inf,0.555555555555556,3,33.3333333333333,0,100,66.6666666666667
"observed","mcdb","1537_jacknife_7",FALSE,2,8,-99,"4",0,1,-99,0.125,-Inf,0.888888888888889,3,33.3333333333333,0,100,66.6666666666667
"observed","mcdb","1537_jacknife_8",FALSE,2,8,-99,"4",0,1,-99,0.166666666666667,-Inf,0.555555555555556,3,0,0,100,100
"observed","mcdb","1537_jacknife_9",FALSE,2,8,-99,"4",0,1,-99,0.166666666666667,-Inf,0,3,0,0,100,100
"observed","mcdb","1581_jacknife_1",FALSE,12,498,-99,"43207350766106",0.273092369477912,0.749158139433835,3729,0.113805559823691,0.839503113309544,0.889781740888589,3999,99.2998249562391,99.2748187046762,14.2535633908477,14.2535633908477
"observed","mcdb","1581_jacknife_10",FALSE,12,498,-99,"43207350766106",0.257028112449799,0.771541176725351,1691,0.108200242831792,0.845904554838253,0.899357024602472,3999,99.2748187046762,99.2498124531133,16.5041260315079,16.5041260315079
"observed","mcdb","1581_jacknife_2",FALSE,12,498,-99,"43207350766106",0.27710843373494,0.72172258342206,671,0.110488465489866,0.844159488606083,0.89058119269531,3999,99.4498624656164,99.4248562140535,10.8777194298575,10.8777194298575
"observed","mcdb","1581_jacknife_3",FALSE,12,498,-99,"43207350766106",0.267068273092369,0.761032873673858,2060,0.112395066638145,0.834630653308716,0.892408500162908,3999,99.4498624656164,99.3998499624906,17.8044511127782,17.8044511127782
"observed","mcdb","1581_jacknife_4",FALSE,12,498,-99,"43207350766106",0.257028112449799,0.77818934524458,3343,0.111020224935752,0.832666513265957,0.893777910092289,3999,99.2248062015504,99.1747936984246,19.5798949737434,19.5798949737434
"observed","mcdb","1581_jacknife_5",FALSE,12,498,-99,"43207350766106",0.315261044176707,0.677553262926561,87,0.113161322459129,0.846464623619179,0.892094491295557,3999,99.549887471868,99.5248812203051,7.87696924231058,7.87696924231058
