"sim1","sim2","r2","r2_log","cd","prop_off","div","n0"
275,2596,0.955197435924559,0.803845324906724,0.96883780547034,0.0982456140350877,0.0374582422165727,855
839,2085,0.784629671515067,0.882451022852077,0.801070975758228,0.129824561403509,0.0509021783411318,855
1119,3963,0.907080702714358,0.915180292808544,0.908162230917655,0.0842105263157895,0.0251040630759742,855
455,713,0.87750674439225,0.878733517063541,0.889929475757996,0.135672514619883,0.0640027835798753,855
3145,3150,0.840953115448404,0.837120855862616,0.932349486958032,0.135672514619883,0.0569009911033972,855
1015,3113,0.880657541807895,0.900228782736433,0.886008910569041,0.143859649122807,0.0483838242635152,855
953,1425,0.89926749904661,0.939130500195653,0.917032587030411,0.102923976608187,0.0305817587264378,855
1948,3288,0.897755712091452,0.938333920129081,0.920375869774183,0.102923976608187,0.0309776620924627,855
1360,3633,0.858592241791629,0.863534247401103,0.87149403999187,0.123976608187135,0.0431107881630585,855
2556,2748,0.847452193396559,0.905823947050473,0.933504354970267,0.0947368421052632,0.0307243883889788,855
1385,2988,0.878123260169048,0.872845413346825,0.957138935665108,0.100584795321637,0.0326042595184857,855
2256,2972,0.780201931414021,0.814171784441127,0.965968113907988,0.138011695906433,0.0547570264961654,855
2962,3302,0.853815750130815,0.787831813296315,0.967035480951804,0.146198830409357,0.061232674712848,855
360,3229,0.812121429768489,0.907193971798322,0.869288407327934,0.116959064327485,0.0421719659250833,855
2078,3068,0.91948487814359,0.845905450900904,0.938953662094049,0.129824561403509,0.0536575239585523,855
611,1091,0.887946337300055,0.958020826177517,0.95753336634162,0.095906432748538,0.024720874677331,855
2395,3245,0.930136755222653,0.807347422612012,0.933767116615406,0.101754385964912,0.0387680992885409,855
34,1987,0.538468146838685,0.831294209342143,0.545964313991063,0.208187134502924,0.149830091748217,855
990,2449,0.88210802669512,0.863754896160245,0.917409931524615,0.176608187134503,0.0828976447987006,855
3114,3694,0.742993114984487,0.593231254903721,0.749251502330619,0.181286549707602,0.103974071356862,855
1380,3246,0.933232566128478,0.958763296338541,0.949298358212745,0.0771929824561404,0.01575110136352,855
804,1815,0.880424172901179,0.844609543311408,0.923681116783006,0.0994152046783626,0.0406500568597146,855
1675,1679,0.909185234274851,0.873484787440022,0.965930956375812,0.0888888888888889,0.0257645239843399,855
599,3174,0.298347717283198,0.798156114962703,0.734758267619408,0.212865497076023,0.114122293079224,855
2240,2656,0.885540979365652,0.904809123758141,0.934490825464801,0.102923976608187,0.0350001093110268,855
1778,3518,0.952775037539909,0.966938569175134,0.961089245492121,0.0736842105263158,0.0148735512478233,855
779,2249,0.827981373186052,0.890595422866466,0.842140499478997,0.153216374269006,0.0692539083213014,855
948,1860,0.831577118507162,0.903333686601315,0.861283808065999,0.102923976608187,0.0505288197463764,855
108,1736,0.849548313149441,0.72342731686228,0.855634022690362,0.132163742690058,0.064165420047354,855
1189,2470,-0.305971212080981,0.938279404815047,0.619625160839607,0.188304093567251,0.117178558234611,855
2650,3051,0.869167347946135,0.894708393599985,0.926550779853039,0.127485380116959,0.0452795676203325,855
1193,2539,0.951470197716245,0.808069281162124,0.95195614606534,0.105263157894737,0.0393184891258157,855
3272,3807,0.886109969056326,0.900576353327899,0.931394751530823,0.100584795321637,0.0391234247407686,855
2751,3875,0.825079268923898,0.976324112431858,0.860358841335324,0.105263157894737,0.0352463187358492,855
2577,3319,0.856169329566821,0.855946504672148,0.913693457100302,0.101754385964912,0.0363181222955456,855
2524,2765,0.964483322223237,0.898561719126647,0.976786277480208,0.0771929824561404,0.0236777927724095,855
3326,3335,0.894917239225484,0.789962998834611,0.911881724654387,0.0994152046783626,0.0325497967053104,855
3302,3870,0.944151321854833,0.883535607359529,0.944979954625767,0.101754385964912,0.035773731262754,855
609,998,0.910857850856397,0.321050338397551,0.911392590752046,0.141520467836257,0.0903574851577797,855
502,3788,0.951738692503238,0.929248804083109,0.964894940160779,0.0736842105263158,0.017992919756621,855
3567,3763,0.977550734457204,0.92954740444521,0.979581450636099,0.0573099415204678,0.0114289501522875,855
547,3640,0.927091183119819,0.916068463511083,0.92737608580597,0.0947368421052632,0.0248103763059172,855
964,1025,0.909988038277512,0.913421542074363,0.922264485727015,0.100584795321637,0.0278705016664382,855
1102,2438,0.870681820130499,0.921504833200271,0.870691567145088,0.12046783625731,0.0506884053327507,855
2065,3986,0.945550213386635,0.928749211566312,0.947223889356369,0.0865497076023392,0.0197764047061779,855
1521,2527,0.916075635639069,0.582293825344396,0.921673671239528,0.115789473684211,0.0726442405086194,855
1282,3139,0.948561849445609,0.802855553299823,0.972008454861889,0.121637426900585,0.0528298050019062,855
931,3451,0.912125920737779,0.896380596197724,0.941336355224551,0.121637426900585,0.0397399972399763,855
509,1914,0.926318286923708,0.938182559157052,0.926344344217149,0.0853801169590643,0.0251436178722789,855
1519,2052,0.927595367253585,0.912350514614657,0.940352392271644,0.0900584795321637,0.026786390558865,855
1343,2154,0.856558625888089,0.875901186095096,0.944680887093148,0.087719298245614,0.0258805003897469,855
208,1211,0.902104135082858,0.963225943227915,0.92671145284172,0.0830409356725146,0.0207869047812262,855
2527,2714,0.929913490390151,0.90078329076389,0.929943674075373,0.106432748538012,0.0314691535823396,855
701,1686,0.907891956275335,0.638492138856097,0.974420321683745,0.0982456140350877,0.0461614277032854,855
2616,2783,0.878137417996849,0.829120438272078,0.878158179323592,0.109941520467836,0.0539895038014768,855
885,2316,0.933846517651652,0.847465473096133,0.974342456645903,0.12046783625731,0.0455739480287244,855
