"sim","source","dat","site","singletons","s0","n0","nparts","skew","shannon","simpson","nsingletons","prop_off_actual","skew_percentile","shannon_percentile","simpson_percentile","skew_percentile_excl","simpson_percentile_excl","nsingletons_percentile","nsingletons_percentile_excl","nsingletons_mean","nsingletons_95","nsingeltons_median","mean_prop_off_actual","prop_off_actual_2p5","prop_off_actual_97p5","prop_off_actual_5","prop_off_actual_95","prop_off_sim_95","mean_prop_off_sim","prop_off_sim_95_1t"
1974,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",3.02549157133385,3.26995272049852,0.943809035258712,2,0.284210526315789,92.15,50.975,35.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.71659386477172,3.38617010209057,0.955316165657809,2,0.335672514619883,42,85.05,79.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.65348468174067,3.52485524323301,0.964027222051229,0,0.368421052631579,38.025,99.675,99.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.74648650871171,3.30198445145609,0.950818371464724,3,0.312280701754386,44.1,62.325,61.975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.37138413792474,3.41371546042928,0.957838651208919,1,0.36374269005848,20.85,90.575,88.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",3.64752029425772,2.95123663538904,0.901939058171745,0,0.168421052631579,97.4,1.725,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",2.04245876581661,3.06377543383804,0.930665845901303,0,0.266666666666667,61.9,6.675,9.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.51246207644643,3.42965923155026,0.959078006908109,1,0.346198830409357,29.225,93.35,91.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",2.14790951429058,3.19125529122188,0.941278342053965,1,0.271345029239766,67.575,28.425,26.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.75744357374768,3.32046827311998,0.952366882117575,4,0.329824561403509,44.825,68.525,68.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
