"sim","source","dat","site","singletons","s0","n0","nparts","skew","shannon","simpson","nsingletons","prop_off_actual","mean_po_comparison","n_po_comparisons","skew_percentile","shannon_percentile","simpson_percentile","skew_percentile_excl","simpson_percentile_excl","nsingletons_percentile","nsingletons_percentile_excl","nsingletons_mean","nsingletons_95","nsingeltons_median","mean_prop_off_actual","prop_off_actual_2p5","prop_off_actual_97p5","prop_off_actual_5","prop_off_actual_95","mean_po_comparison_percentile","mean_po_comparison_sims","skew_range","simpson_range","nsamples","skew_unique","simpson_unique","shannon_unique","skew_2p5","skew_97p5","skew_95","skew_min","simpson_max","shannon_min","shannon_2p5","shannon_97p5","shannon_max","shannon_5","shannon_range","simpson_2p5","simpson_5","simpson_97p5","mean_po_comparison_95","mean_po_comparison_min","mean_po_comparison_max","skew_95_ratio_2t","simpson_95_ratio_2t","skew_95_ratio_1t","simpson_95_ratio_1t","shannon_95_ratio_2t","shannon_95_ratio_1t","mean_po_comparison_95_ratio_1t"
-99,"observed","fia_short","451049000054_jacknife_7",FALSE,9,30,"598",0.284891623799973,1.98807222988502,0.844444444444444,3,0,0.1604,500,13.8795986622074,67.3913043478261,73.4113712374582,13.7123745819398,70.9030100334448,63.0434782608696,44.6488294314381,2.83110367892977,6,3,0.159643255295429,0.0333333333333333,0.333333333333333,0.0666666666666667,0.3,34.9498327759197,0.180250836120401,3.33333333333333,0.433333333333333,598,585,135,531,-0.319041982466958,2.00736419022625,1.92701258482319,-1.25925925925926,0.886666666666667,1.13443291586606,1.4918655773215,2.13686074104581,2.18751226401333,1.5774517453423,1.05307934814728,0.6465,0.684444444444444,0.875722222222222,0.257393333333333,0.127933333333333,0.4176,0.697921851807964,0.528974358974359,0.955881553224736,0.466666666666667,0.612484866272498,0.579311064968029,0.44692750287687
-99,"observed","fia_short","451049000054_jacknife_8",FALSE,8,30,"638",0.00820872689394771,1.90467182596199,0.835555555555556,2,0,0.1682,500,8.67507886435331,75.2365930599369,80.2839116719243,8.51735015772871,78.8643533123028,60.0946372239748,38.801261829653,2.14511041009464,5,2,0.166982124079916,0.0333333333333333,0.366666666666667,0.0666666666666667,0.333333333333333,43.6908517350158,0.182406309148265,3.71231060122938,0.468888888888889,634,599,149,588,-0.410500266795952,1.8033060456063,1.74163898755436,-1.85615530061469,0.873333333333333,0.997318482783141,1.37151991527781,2.02466032650388,2.07243943503262,1.45461429094926,1.07512095224948,0.610722222222222,0.652555555555556,0.862222222222222,0.2599,0.1298,0.429933333333333,0.596341887898367,0.536374407582938,0.969152281325167,0.47085308056872,0.607504123010074,0.574656407533201,0.433474011550422
-99,"observed","fia_short","451049000054_jacknife_9",FALSE,9,30,"598",0.181002322565028,2.04888282790134,0.857777777777778,2,0,0.171133333333333,500,10.3678929765886,82.943143812709,85.9531772575251,10.0334448160535,83.7792642140468,44.6488294314381,27.0903010033445,2.83110367892977,6,3,0.168784838350056,0.0333333333333333,0.366666666666667,0.0666666666666667,0.333333333333333,50.8361204013378,0.180297993311037,3.33333333333333,0.433333333333333,598,585,135,531,-0.319041982466958,2.00736419022625,1.92701258482319,-1.25925925925926,0.886666666666667,1.13443291586606,1.4918655773215,2.13686074104581,2.18751226401333,1.5774517453423,1.05307934814728,0.6465,0.684444444444444,0.875722222222222,0.258576666666667,0.129466666666667,0.417,0.697921851807964,0.528974358974359,0.955881553224736,0.466666666666667,0.612484866272498,0.579311064968029,0.449026199860886
-99,"observed","fia_short","453021000030_jacknife_1",FALSE,14,31,"293",2.50409117561662,2.29970649137454,0.853277835587929,7,0,0.140922602664318,293,87.7133105802048,37.8839590443686,29.3515358361775,87.3720136518771,27.9863481228669,44.3686006825939,31.3993174061433,7.50853242320819,11,8,0.140922602664318,0.032258064516129,0.225806451612903,0.0645161290322581,0.225806451612903,30.0341296928328,0.161914701406662,3.36971739086452,0.276795005202914,293,290,87,268,0.0886405103511962,2.86045596283564,2.75389838348706,-0.391663552411788,0.926118626430801,1.75570682893253,1.99610930743239,2.57773528925404,2.62312434737767,2.05375997246706,0.867417518445135,0.759417273673257,0.786680541103018,0.919875130072841,0.230291648254529,0.117874502872293,0.334069818824569,0.822566147534801,0.579699248120301,0.93347944976829,0.50375939849624,0.67052598022718,0.656390219016111,0.519979560551865
-99,"observed","fia_short","453021000030_jacknife_10",FALSE,12,31,"460",1.74892009712563,2.2088163025252,0.857440166493236,5,0,0.133941093969144,460,72.3913043478261,53.695652173913,48.4782608695652,72.1739130434783,47.8260869565217,48.9130434782609,34.7826086956522,5.34130434782609,9,6,0.133941093969144,0.032258064516129,0.258064516129032,0.0645161290322581,0.225806451612903,6.08695652173913,0.17167817103466,3.89736581636671,0.341311134235172,460,450,110,404,-0.114490159575121,2.54447968687398,2.45393261734406,-1.25117708258093,0.91363163371488,1.50125670541806,1.80487534597261,2.41788298507806,2.46617011198096,1.8761504966392,0.964913406562905,0.71363163371488,0.753277835587929,0.905306971904266,0.240540445568909,0.122777426382739,0.375922411975543,0.682247952009778,0.561585365853658,0.950670241003717,0.469817073170732,0.635298084715218,0.61147416061246,0.465199888950583
-99,"observed","fia_short","453021000030_jacknife_2",FALSE,14,31,"293",1.51943075510732,2.41828237433906,0.890738813735692,7,0,0.147308158097545,293,48.8054607508532,68.9419795221843,68.6006825938567,48.122866894198,66.2116040955631,44.3686006825939,31.3993174061433,7.50853242320819,11,8,0.147308158097545,0.032258064516129,0.290322580645161,0.0645161290322581,0.258064516129032,40.6143344709898,0.161914701406662,3.36971739086452,0.276795005202914,293,290,87,268,0.0886405103511962,2.86045596283564,2.75389838348706,-0.391663552411788,0.926118626430801,1.75570682893253,1.99610930743239,2.57773528925404,2.62312434737767,2.05375997246706,0.867417518445135,0.759417273673257,0.786680541103018,0.919875130072841,0.230291648254529,0.117874502872293,0.334069818824569,0.822566147534801,0.579699248120301,0.93347944976829,0.50375939849624,0.67052598022718,0.656390219016111,0.519979560551865
-99,"observed","fia_short","453021000030_jacknife_3",FALSE,15,31,"230",1.10419721588314,2.51234112789095,0.903225806451613,7,0,0.136185133239832,230,24.3478260869565,75.2173913043478,76.9565217391304,23.9130434782609,73.4782608695652,28.695652173913,19.1304347826087,8.70869565217391,12,9,0.136185133239832,0.032258064516129,0.290322580645161,0.0645161290322581,0.258064516129032,29.1304347826087,0.156186113169644,3.25330601081423,0.247658688865765,230,228,78,212,0.131908021595217,3.02200451903674,2.89409053664173,-0.120492815215342,0.932362122788762,1.88028956419625,2.096670529223,2.64301765750677,2.70160146507602,2.14971523909884,0.82131190087977,0.771540062434964,0.798022892819979,0.924609781477628,0.220904352725736,0.114100577546133,0.312438371601634,0.888356793930427,0.618067226890757,0.926621517261633,0.542436974789917,0.665212725760496,0.671956933031181,0.538494318181818
-99,"observed","fia_short","453021000030_jacknife_4",FALSE,14,31,"293",0.983371509290021,2.42736868324076,0.894901144640999,7,0,0.13299570626445,293,22.8668941979522,71.6723549488055,74.061433447099,22.1843003412969,72.0136518771331,44.3686006825939,31.3993174061433,7.50853242320819,11,8,0.13299570626445,0.032258064516129,0.290322580645161,0.032258064516129,0.258064516129032,16.382252559727,0.161914701406662,3.36971739086452,0.276795005202914,293,290,87,268,0.0886405103511962,2.86045596283564,2.75389838348706,-0.391663552411788,0.926118626430801,1.75570682893253,1.99610930743239,2.57773528925404,2.62312434737767,2.05375997246706,0.867417518445135,0.759417273673257,0.786680541103018,0.919875130072841,0.230291648254529,0.117874502872293,0.334069818824569,0.822566147534801,0.579699248120301,0.93347944976829,0.50375939849624,0.67052598022718,0.656390219016111,0.519979560551865
-99,"observed","fia_short","453021000030_jacknife_5",FALSE,14,31,"293",2.07222900248629,2.31513362078341,0.863683662851197,8,0,0.122426511064626,293,74.7440273037543,40.9556313993174,37.542662116041,74.4027303754266,35.8361774744027,59.3856655290102,44.3686006825939,7.50853242320819,11,8,0.122426511064626,0.032258064516129,0.225806451612903,0.032258064516129,0.225806451612903,3.41296928327645,0.161914701406662,3.36971739086452,0.276795005202914,293,290,87,268,0.0886405103511962,2.86045596283564,2.75389838348706,-0.391663552411788,0.926118626430801,1.75570682893253,1.99610930743239,2.57773528925404,2.62312434737767,2.05375997246706,0.867417518445135,0.759417273673257,0.786680541103018,0.919875130072841,0.230291648254529,0.117874502872293,0.334069818824569,0.822566147534801,0.579699248120301,0.93347944976829,0.50375939849624,0.67052598022718,0.656390219016111,0.519979560551865
-99,"observed","fia_short","453021000030_jacknife_6",FALSE,14,31,"293",1.46859602434667,2.40732114615871,0.888657648283039,7,0,0.125729384564571,293,47.098976109215,65.5290102389078,66.2116040955631,46.7576791808874,63.481228668942,44.3686006825939,31.3993174061433,7.50853242320819,11,8,0.125729384564571,0.032258064516129,0.258064516129032,0.032258064516129,0.225806451612903,7.50853242320819,0.161914701406662,3.36971739086452,0.276795005202914,293,290,87,268,0.0886405103511962,2.86045596283564,2.75389838348706,-0.391663552411788,0.926118626430801,1.75570682893253,1.99610930743239,2.57773528925404,2.62312434737767,2.05375997246706,0.867417518445135,0.759417273673257,0.786680541103018,0.919875130072841,0.230291648254529,0.117874502872293,0.334069818824569,0.822566147534801,0.579699248120301,0.93347944976829,0.50375939849624,0.67052598022718,0.656390219016111,0.519979560551865
