"sim","source","dat","site","singletons","s0","n0","nparts","skew","shannon","simpson","nsingletons","mean_po_comparison","n_po_comparisons","skew_percentile","shannon_percentile","simpson_percentile","skew_percentile_excl","simpson_percentile_excl","shannon_percentile_excl","nsingletons_percentile","nsingletons_percentile_excl","mean_po_comparison_percentile","mean_po_comparison_percentile_excl","mean_po_comparison_sims","skew_range","simpson_range","nsamples","skew_unique","simpson_unique","shannon_unique","skew_2p5","skew_97p5","skew_95","skew_min","simpson_max","shannon_min","shannon_2p5","shannon_97p5","shannon_max","shannon_5","shannon_range","simpson_2p5","simpson_5","simpson_97p5","mean_po_comparison_95","mean_po_comparison_min","mean_po_comparison_max","nsingletons_mean","nsingletons_95","nsingletons_median","nsingletons_min","nsingletons_max","nsingletons_2p5","nsingletons_97p5","skew_95_ratio_2t","simpson_95_ratio_2t","skew_95_ratio_1t","simpson_95_ratio_1t","shannon_95_ratio_2t","shannon_95_ratio_1t","mean_po_comparison_95_ratio_1t","nsingletons_95_ratio_1t","nsingletons_95_ratio_2t"
-99,"observed","mcdb","1441",TRUE,8,211,"125780632",0.767775951959086,1.44598110587052,0.721906516026145,3,0.187071090047393,500,55.225,6.55,14.875,55.225,14.85,6.55,99.975,99.5,79.125,79.125,0.168515447867299,3.3570437154726,0.510635430471014,4000,4000,2642,4000,-0.262746992319763,1.68633181568468,1.5813141551019,-1.52679901844188,0.871408998000943,0.821498417626834,1.33653238880809,1.97135160133189,2.06573308710077,1.41240299612374,1.24423466947393,0.625538509916669,0.663682307225804,0.850385211473237,0.236629383886256,0.120018957345972,0.445184834123223,0.27725,1,0,0,4,0,2,0.58059381205587,0.440327263130113,0.925848287056405,0.406800387085423,0.51020858693176,0.52508590783221,0.358618277219064,0.25,0.5
-99,"observed","mcdb","1442",TRUE,8,175,"36116644",1.79900923421654,0.588281080499007,0.271412244897959,5,0.502217142857143,500,99.4,0,0,99.4,0,0,100,99.975,100,100,0.170068648571429,3.04506204862855,0.536489795918367,4000,3999,2309,4000,-0.263991673416021,1.68733125304304,1.58508252573553,-1.19987383285843,0.871379591836735,0.822683060936201,1.31978169458547,1.97455930612131,2.06471676122809,1.40718843664192,1.24203370029189,0.61805387755102,0.659657142857143,0.850612244897959,0.239150285714286,0.119485714285714,0.47832,0.3325,2,0,0,5,0,2,0.640815489240328,0.433481436396835,0.914581152738175,0.394643944004869,0.527181840059539,0.529396524773561,0.33348143193834,0.4,0.4
-99,"observed","mcdb","1443",TRUE,6,307,"33918401",-0.0385075881299111,1.44280735114539,0.742310263238867,1,0.164188925081433,500,11.775,42.4,57.55,11.775,57.55,42.4,99.225,90.4,48.175,48.15,0.175301752442997,2.60269733458187,0.597311377309043,4000,4000,3391,4000,-0.444642759382746,1.27652543355243,1.22558306195993,-1.24435068978848,0.83001411155556,0.54294260086557,1.02709092925486,1.71763475124711,1.78126602526441,1.12859002420074,1.23832342439884,0.522929686256618,0.569097815361436,0.809794798883808,0.249328664495114,0.122188925081433,0.463680781758958,0.10425,1,0,0,3,0,1,0.661301708064988,0.480260586897826,0.948990003151951,0.436817891146796,0.557644156919255,0.527064245256053,0.372306797153704,0.333333333333333,0.333333333333333
-99,"observed","mcdb","1444",TRUE,5,68,"8529",1.06232373715719,0.729926395463749,0.33477508650519,1,0.363058823529412,500,98.5032740879327,0.904271905207359,0.748362956033676,98.5032740879327,0.748362956033676,0.904271905207359,96.1022762706579,74.5244777050203,99.3140006236358,99.3140006236358,0.184051404097654,2.13079946643169,0.68598615916955,3207,3195,1006,3200,-0.57232977990285,1.05246819928064,1.02757885648893,-1.05748683723179,0.799307958477509,0.305264803190533,0.859885722448912,1.56190389349829,1.60773446146807,0.959639001658513,1.30246965827753,0.431423010380623,0.491046712802768,0.782006920415225,0.264729411764706,0.127147058823529,0.483558823529412,0.299033364515123,1,0,0,4,0,2,0.762529747533886,0.511065573770492,0.978536801124907,0.44936948297604,0.53899003833822,0.497589679491371,0.38602079551081,0.25,0.5
-99,"observed","mcdb","1445",TRUE,14,89,"2821909",2.9358410764124,1.07466185443588,0.40752430248706,11,0.507573033707865,500,99.974974974975,0,0,99.974974974975,0,0,100,99.9249249249249,100,100,0.17406016128488,3.70847453741591,0.470142658755208,3996,3978,819,3979,0.108453928545297,2.63687702096153,2.48280002620639,-0.752729526911425,0.92412574169928,1.16259261199253,1.81828499229001,2.51256179660152,2.60731047910368,1.90603076459412,1.44471786711116,0.737943441484661,0.769094811261204,0.910743592980684,0.24285393258427,0.126584269662921,0.471460674157303,2.58458458458458,6,2,0,11,0,7,0.681795996414756,0.367548335123523,0.872469129954538,0.329752953813104,0.480562205338939,0.485409456388767,0.337134293347234,0.545454545454545,0.636363636363636
-99,"observed","mcdb","1446",TRUE,14,84,"1614987",2.97363162824088,0.913564588328847,0.322278911564626,12,0.565142857142857,500,100,0,0,100,0,0,100,100,100,100,0.173248113713571,4.31880927801605,0.370748299319728,3995,3942,725,3976,0.0672832367623521,2.62352530834911,2.46979732936798,-1.37654123075843,0.924886621315193,1.4108835862878,1.83298485550976,2.51090985423473,2.60813785974024,1.91045731724651,1.19725427345244,0.741695011337869,0.772307256235828,0.910756802721088,0.241116666666667,0.126595238095238,0.402095238095238,2.67409261576971,7,2,0,11,0,8,0.591885843303789,0.456001529051988,0.890601624782403,0.411544342507645,0.566233099983085,0.582733808484869,0.415685766139487,0.636363636363636,0.727272727272727
-99,"observed","mcdb","1447",TRUE,7,104,"508130",0.387688739735749,1.28381980062122,0.685465976331361,3,0.237134615384615,500,31.8604067285965,5.22219432588501,14.4363545066533,31.8604067285965,14.3610343961838,5.22219432588501,99.8242530755712,98.5187044940999,93.5726839066031,93.5726839066031,0.174626837134746,3.01252926527741,0.544008875739645,3983,3978,1452,3982,-0.3337354258113,1.52259811997057,1.45431954588295,-1.39611136325489,0.854105029585799,0.745740170586414,1.18062991410585,1.85672423650654,1.93517884843962,1.2786727055629,1.18943867785321,0.567732988165681,0.616919378698225,0.832655325443787,0.247896153846154,0.123692307692308,0.452846153846154,0.429073562641225,2,0,0,4,0,2,0.616204319466067,0.486981645139361,0.94619193977369,0.43599592114208,0.568414610176419,0.551946186970848,0.377342837111474,0.5,0.5
-99,"observed","mcdb","1448",TRUE,11,371,"599321750887",0.839614137138691,1.60874593875183,0.757158114224686,3,0.256964959568733,500,47.75,1.475,5.55,47.75,5.55,1.475,99.85,99.3,98.325,98.325,0.154905746630728,3.41809153912332,0.384899848155709,4000,4000,3251,4000,-0.0869371285599576,2.10405923287443,1.92071925607658,-0.970919798738686,0.901504638879404,1.2209295999616,1.67777903844299,2.25648474830051,2.35432880359201,1.74501369522823,1.13339920363041,0.726744574654354,0.753087379487217,0.885216977499437,0.216230997304582,0.111304582210243,0.413142857142857,0.31225,2,0,0,4,0,2,0.640999907801281,0.411723734380309,0.845980577675495,0.385599682887236,0.510593009068521,0.537599732214451,0.347624618242217,0.5,0.5
-99,"observed","mcdb","1449",TRUE,12,220,"10394541798",1.66556028878904,1.2994169971218,0.633636363636364,5,0.388,500,85.525,0.075,0.325,85.525,0.325,0.075,100,99.775,99.9,99.9,0.157567604545455,3.45200799135244,0.467107438016529,4000,4000,2347,4000,-0.0242378710412724,2.23793168568377,2.06887618285943,-0.817640855328751,0.910867768595041,1.17107164217478,1.73703132933932,2.34471554761006,2.45114201717927,1.80064577330989,1.28007037500449,0.735650826446281,0.76354132231405,0.893886363636364,0.220220909090909,0.114090909090909,0.483981818181818,0.6455,3,0,0,5,0,3,0.655319907251651,0.33875619249823,0.836184923505141,0.315401627742392,0.474727194798661,0.508172250972608,0.286922434132914,0.6,0.6
-99,"observed","mcdb","1450",TRUE,16,222,"112690385429",1.51022046033411,1.63663012302956,0.746083921759597,10,0.365216216216216,500,68.6,0.075,0.575,68.6,0.575,0.075,100,100,99.975,99.975,0.152281123873874,4.04155212042369,0.270229689148608,4000,3999,2071,4000,0.212415922808,2.63090554280297,2.410229825557,-0.855319271383022,0.927643860076293,1.60906243675084,2.00894100374188,2.60136800394151,2.68917669941714,2.08757496603004,1.0801142626663,0.795138381624868,0.815719097475854,0.916161431701972,0.207984684684685,0.110927927927928,0.387099099099099,1.241,4,1,0,9,0,5,0.59840614395972,0.447852530409971,0.807993810209154,0.414183811383091,0.548485489615882,0.556979714259144,0.351436959712934,0.444444444444444,0.555555555555556
