"s0","n0","source","dat","site","singletons","n_comparisons","mean_r2","mean_r2_log","mean_cd","mean_prop_off","mean_div"
62,868,"sampled","bbs","39026",FALSE,3999,0.841331627375661,0.841652136824116,0.907957536459229,0.122401568133969,0.0545224341844143
65,868,"sampled","bbs","39028",FALSE,3998,0.837588301404816,0.832325757166469,0.906309976346019,0.124797421752351,0.0569618830945038
58,796,"sampled","bbs","39030",FALSE,3998,0.836599310023892,0.829152560125437,0.905314770547885,0.124358347515466,0.0567094190096879
49,1022,"sampled","bbs","39035",FALSE,3998,0.848216115333986,0.856764833819318,0.90831621931401,0.113608173949989,0.0470154338039913
67,978,"sampled","bbs","39036",FALSE,3998,0.845196822956585,0.839748388581125,0.909770761425545,0.120551840337347,0.0535734777005397
61,731,"sampled","bbs","39039",FALSE,3999,0.830202501986798,0.825701653521615,0.902669953246875,0.127661874428936,0.0595742077951078
47,530,"sampled","bbs","39040",FALSE,3998,0.813908830916259,0.814459332603533,0.894848755294643,0.131815436019897,0.0631343673149743
62,728,"sampled","bbs","39041",FALSE,4000,0.828759230788041,0.82828970699931,0.900128739537367,0.128942307692308,0.0604288480060283
60,1304,"sampled","bbs","39043",FALSE,3997,0.850343053217861,0.859028562100151,0.912686943688739,0.112938231280823,0.0466721966866949
51,450,"sampled","bbs","39044",FALSE,4000,0.798406387986339,0.794434958529906,0.888020359544055,0.140273333333333,0.0716803793321955
65,1285,"sampled","bbs","39107",FALSE,3999,0.861303566048984,0.861595235005053,0.915485934550543,0.110562660120283,0.0449765825952102
66,832,"sampled","bbs","39112",FALSE,3999,0.836536841319634,0.834945547769247,0.905199316738652,0.124445474349357,0.0568287133451646
52,621,"sampled","bbs","39117",FALSE,4000,0.815571892717057,0.818890745545264,0.897884441697971,0.13119001610306,0.0621693510334955
65,718,"sampled","bbs","39118",FALSE,3999,0.822539939033967,0.82664916497268,0.901492690631132,0.129702342020045,0.0617802057290637
69,988,"sampled","bbs","39124",FALSE,3998,0.852169325070064,0.846475527605119,0.912604243027255,0.11840662233951,0.0519575696890197
54,880,"sampled","bbs","39127",FALSE,3999,0.835622591802898,0.843913948448733,0.903782713005214,0.120932505853736,0.053001637232384
58,847,"sampled","bbs","39132",FALSE,3999,0.836273891929493,0.833441679335061,0.903935005193524,0.123763821711036,0.0560713204348018
56,639,"sampled","bbs","39134",FALSE,4000,0.817359516042683,0.813466439097398,0.898888388036717,0.130881064162754,0.0630067405291598
55,1319,"sampled","bbs","39137",FALSE,4000,0.857846172987064,0.865195379301627,0.912904130654618,0.110182903714936,0.0441528252358515
62,470,"sampled","bbs","39145",FALSE,4000,0.801335761518631,0.80907312438887,0.89118638877031,0.140173936170213,0.0719296851411833
65,642,"sampled","bbs","39146",FALSE,4000,0.812638555480442,0.815454007251881,0.897082636411936,0.134193146417445,0.0660178739863295
36,734,"sampled","bbs","42003",FALSE,3998,0.824966306853586,0.833619296508877,0.897478608197788,0.124174144292855,0.0551848044665097
47,771,"sampled","bbs","42009",FALSE,4000,0.829555488866655,0.83313468971405,0.903005266970563,0.122049610894942,0.0541040670625614
53,913,"sampled","bbs","42010",FALSE,3998,0.838540332116572,0.841574273775246,0.905503632863484,0.11978935798677,0.0523747576530536
34,661,"sampled","bbs","42011",FALSE,3999,0.809431834183052,0.832852183512724,0.892973826389862,0.125413728621263,0.0559790226727073
53,576,"sampled","bbs","42012",FALSE,3999,0.799489392505396,0.811398768920468,0.889799834860889,0.13492392195271,0.0665969934063148
37,500,"sampled","bbs","42015",FALSE,3998,0.800633463192328,0.812779049965245,0.887604963494156,0.133748374187094,0.0636322025880004
57,729,"sampled","bbs","42016",FALSE,3996,0.823772998735887,0.830621443793514,0.901230572934472,0.127137768770142,0.0590637761795286
43,715,"sampled","bbs","42017",FALSE,3999,0.822962172718075,0.834875041444088,0.89797067534843,0.123197232874652,0.054678280091136
42,598,"sampled","bbs","42018",FALSE,4000,0.806466337138532,0.816684170493129,0.893483121371514,0.12910618729097,0.0609847179209629
45,390,"sampled","bbs","42020",FALSE,3999,0.779680470755941,0.786153539867415,0.883126551038235,0.142141945742846,0.0728962122573437
42,429,"sampled","bbs","42026",FALSE,4000,0.78428704481566,0.807828346898568,0.881694602022033,0.139592074592075,0.0690777061554843
50,612,"sampled","bbs","42027",FALSE,3999,0.810293270523009,0.821427348080797,0.893328090124974,0.131085058846411,0.062117896998909
28,517,"sampled","bbs","42030",FALSE,4000,0.793642877429368,0.817260609632855,0.881514406716514,0.132205512572534,0.0619142929197857
37,1882,"sampled","bbs","42031",FALSE,3998,0.851193226099085,0.869926930119995,0.909865601413387,0.106435125107719,0.0406855286483051
50,556,"sampled","bbs","42032",FALSE,3999,0.808132982215378,0.814791878587686,0.893222522146523,0.133513144473169,0.0645023430903681
24,414,"sampled","bbs","42034",FALSE,4000,0.776559492229918,0.798628252485165,0.878091725988482,0.136000603864734,0.0657340090541126
49,586,"sampled","bbs","42036",FALSE,4000,0.813265674200966,0.819067111597167,0.893318479613916,0.131088737201365,0.0618014484764576
42,715,"sampled","bbs","42038",FALSE,4000,0.824480608917148,0.830345478451398,0.898505813020163,0.124827972027972,0.0560049750069914
30,647,"sampled","bbs","42051",FALSE,4000,0.809056103924959,0.830976026450325,0.888588771583694,0.126812596599691,0.0569814495427157
41,398,"sampled","bbs","42053",FALSE,3998,0.783039083864186,0.793221175760494,0.882561001388635,0.141075562907082,0.0713857859473873
