"sim","source","dat","site","singletons","s0","n0","nparts","skew","shannon","simpson","skew_percentile","shannon_percentile","simpson_percentile","skew_range","simpson_range","nsamples","skew_sd","skew_mean","simpson_sd","simpson_mean"
-99,"observed","mcdb","1222",FALSE,3,22,"40",0.331726461382459,0.649687712747623,0.367768595041322,60,10,10,0.769800358919502,0.495867768595041,40,0.285147279510712,0.331726461382459,0.119477952849595,0.522727272727273
-99,"observed","mcdb","1223",FALSE,4,224,"79097",0.567259946989313,0.617878861902569,0.37679368622449,73.1431508609612,2.21022873297353,4.78026214340786,1.5,0.671316964285714,3891,0.376843946317009,0.567259946989313,0.10530206711893,0.600799101324223
-99,"observed","mcdb","1224",FALSE,3,125,"1302",-0.350961976273948,0.730967115176188,0.504704,8.88345558272209,24.6943765281174,39.2828035859821,0.769800358919505,0.635008,1227,0.270639735398475,0.107180993278409,0.127690628303526,0.504704
-99,"observed","mcdb","1225",FALSE,2,30,"15",0,0.146144746008564,0.0644444444444445,0,0,0,0,0.435555555555555,15,0,0,0.14426769813191,0.34962962962963
-99,"observed","mcdb","1226",FALSE,1,35,"1",NA,0,0,0,0,0,-Inf,0,1,-Inf,-Inf,-Inf,0
-99,"observed","mcdb","1227",FALSE,2,119,"59",0,0.14708675188251,0.0649671633359226,0,5.08474576271187,5.08474576271187,0,0.483299202033755,59,0,0,0.147807972094476,0.336134453781513
-99,"observed","mcdb","1228",FALSE,3,30,"75",-0.377813744064283,0.815612193957263,0.531111111111111,5.33333333333333,33.3333333333333,44,0.769800358919501,0.54,75,0.277530559564813,0.112072934838639,0.122339556019167,0.531111111111111
-99,"observed","mcdb","1230",FALSE,13,3541,"1453298932683225239678833",0.848596158889892,2.01459170648597,0.83661893942433,42.525,11.25,20.55,3.19432805912762,0.29680761477224,4000,0.55042293357713,0.997666681640465,0.0317783916879202,0.856611011596834
-99,"observed","mcdb","1231",FALSE,6,15,"26",0,1.71408754118701,0.808888888888889,7.69230769230769,84.6153846153846,84.6153846153846,2.21456235583268,0.293333333333333,26,0.573029783581996,0.616045364103789,0.0699877075083846,0.808888888888889
-99,"observed","mcdb","1232",FALSE,11,19,"22",1.43012092037657,2.09736639367481,0.836565096952909,54.5454545454545,22.7272727272727,22.7272727272727,3.35156889218343,0.155124653739612,22,0.811157363916893,1.43012092037657,0.0377841719446369,0.854948375723999
-99,"observed","mcdb","1233",FALSE,6,19,"71",0.829842942410213,1.53060524205894,0.736842105263158,60.5633802816901,39.4366197183099,36.6197183098592,2.24172625453254,0.38781163434903,71,0.53511028649792,0.829842942410213,0.0756524652963562,0.736842105263158
-99,"observed","mcdb","1234",FALSE,6,7,"1",1.36082763487954,1.74786809746676,0.816326530612245,0,0,0,0,0,1,-Inf,1.36082763487954,-Inf,0.816326530612245
-99,"observed","mcdb","1235",FALSE,2,2,"1",NA,0.693147180559945,0.5,0,0,0,-Inf,0,1,-Inf,-Inf,-Inf,0.5
-99,"observed","mcdb","1236",FALSE,4,5,"1",0.75,1.33217904021012,0.72,0,0,0,0,0,1,-Inf,0.75,-Inf,0.72
-99,"observed","mcdb","1237",FALSE,6,11,"7",0.880898619652994,1.64173471218752,0.776859504132231,57.1428571428571,42.8571428571429,42.8571428571429,2.72165526975909,0.165289256198347,7,0.913839104847916,0.880898619652994,0.0562261199517859,0.776859504132231
-99,"observed","mcdb","1238",FALSE,3,8,"5",0.384900179459751,0.735621939758795,0.40625,60,0,0,0.769800358919501,0.25,5,0.363005383727712,0.384900179459751,0.0988211768802619,0.5625
-99,"observed","mcdb","1239",FALSE,4,6,"2",0,1.32966134885476,0.722222222222222,0,50,50,0.75,0.0555555555555555,2,0.530330085889911,0.375,0.0392837100659192,0.722222222222222
-99,"observed","mcdb","1240",FALSE,12,395,"3887408512533",1.35259123009344,1.55959796624236,0.723384073065214,75.75,0.25,1.3,3.3401530013749,0.40001281845858,4000,0.549806932814369,1.35259123009344,0.0378343751819889,0.843795551994873
-99,"observed","mcdb","1241",FALSE,9,173,"98131943",1.60117961522929,1.21198921481018,0.597079755421164,91.575,0.3,0.9,3.13243022226633,0.605967456313275,4000,0.537591904367305,1.60117961522929,0.055159904224099,0.798004009489124
-99,"observed","mcdb","1242",FALSE,13,1647,"168596720470327443937",1.86182336339377,1.03505449948622,0.560006252283318,92.6,0,0.025,3.472811349617,0.465689673668413,4000,0.554331053487878,1.86182336339377,0.0336887451541209,0.85640994758183
-99,"observed","mcdb","1243",FALSE,9,601,"1387159599492",1.013646138087,1.41741219969616,0.704377894856327,68.125,1.575,5.05,2.84010583936789,0.41384160066002,4000,0.523103540284605,1.013646138087,0.0501864534640084,0.80032213089111
-99,"observed","mcdb","1244",FALSE,6,174,"2092435",0.360819097732008,1.33753523218288,0.694213238208482,35.9359359359359,22.9479479479479,31.7317317317317,2.55056006131796,0.648896815959836,3996,0.464283511626744,0.525643442175467,0.0782855095361561,0.713260228123486
-99,"observed","mcdb","1245",FALSE,3,78,"507",0.256015475180875,0.652623177780064,0.393162393162393,54.043392504931,14.9901380670611,17.1597633136095,0.769800358919501,0.616370808678501,507,0.272046744197493,0.256015475180875,0.1265759136055,0.506515618941654
-99,"observed","mcdb","1246",FALSE,6,353,"67547249",0.636349472175211,1.13671552537534,0.624609779389932,61.25,6,11.325,2.64458004579308,0.564903016636037,4000,0.46252156013221,0.636349472175211,0.0764928894764947,0.715078216661718
