"s0","n0","source","dat","site","singletons","n_comparisons","mean_r2","mean_r2_log","mean_cd","mean_prop_off","mean_div"
6,142,"sampled","mcdb","1296",FALSE,3999,0.65264115636951,0.651436381143633,0.816734593447864,0.174298856404242,0.107447906705696
5,319,"sampled","mcdb","1297",FALSE,3998,0.663226589377829,0.620415843960857,0.814825955165903,0.177540180748682,0.113437438428413
6,138,"sampled","mcdb","1298",FALSE,3998,0.651844960086816,0.645328267386119,0.81165588219988,0.177760981940245,0.111040821425723
18,843,"sampled","mcdb","1299",FALSE,3998,0.787902342845608,0.811275770063999,0.878125969603887,0.13121715068685,0.0607610260680905
8,255,"sampled","mcdb","1300",FALSE,3999,0.664030382139856,0.688473367092625,0.825081660858352,0.169313897101726,0.100005040945942
7,143,"sampled","mcdb","1301",FALSE,4000,0.665923880057382,0.678608011611442,0.823485571519873,0.170828671328671,0.10173863479389
6,403,"sampled","mcdb","1302",FALSE,3998,0.671326731523284,0.650831673081111,0.820972691208536,0.174948516441844,0.108920722900948
7,134,"sampled","mcdb","1303",FALSE,4000,0.662923123492206,0.673429106472226,0.817135760072778,0.17302052238806,0.104805672889843
5,25,"sampled","mcdb","1304",FALSE,3570,0.524302866993967,0.543772200498429,0.751910232961042,0.187473389355742,0.12106700544902
7,33,"sampled","mcdb","1305",FALSE,3983,0.5027637076699,0.56741282085587,0.76571528237276,0.183956055660801,0.118544842783073
7,27,"sampled","mcdb","1306",FALSE,3894,0.442374320265944,0.536922298985734,0.746137900398814,0.185099583404668,0.119683921375373
11,2313,"sampled","mcdb","1307",FALSE,3997,0.735258481972768,0.750564679834488,0.85612338537955,0.148588743762751,0.0779171789665677
10,1065,"sampled","mcdb","1308",FALSE,3999,0.729990951556727,0.738646177013674,0.846174318587801,0.154884260971346,0.0838096477482205
9,868,"sampled","mcdb","1309",FALSE,3997,0.712358191515986,0.719790361893267,0.846425291846126,0.157517908016266,0.0881243492741389
4,44,"sampled","mcdb","1310",FALSE,3960,0.611866585246331,0.566981013969472,0.786973044078584,0.185657713498623,0.121094004218349
3,59,"sampled","mcdb","1311",FALSE,3814,0.643838274978926,0.528901463522876,0.830730472429196,0.185862966946042,0.124976125284845
3,38,"sampled","mcdb","1312",FALSE,3047,0.634586197541166,0.526054796874757,0.822292177126745,0.184512808111516,0.120693430338665
4,88,"sampled","mcdb","1313",FALSE,3997,0.633059386005096,0.571062492738074,0.802791171389481,0.188143948870744,0.125808597298448
1,63,"sampled","mcdb","1314",FALSE,1,NA,NA,NA,NA,NA
2,16,"sampled","mcdb","1315",FALSE,28,0.526232993197279,0.372852381519021,0.75,0.1875,0.115851602834343
2,25,"sampled","mcdb","1316",FALSE,66,0.641980688986485,0.470529751672898,1,0.173333333333333,0.108284984413275
2,18,"sampled","mcdb","1317",FALSE,36,0.542972883597884,0.386078476712066,0.777777777777778,0.185185185185185,0.115488993115237
2,20,"sampled","mcdb","1318",FALSE,45,0.556189006466784,0.396386174329084,0.8,0.183333333333333,0.11521520466618
2,17,"sampled","mcdb","1319",FALSE,28,0.63108214536786,0.466456155436264,1,0.176470588235294,0.106053259583752
19,369,"sampled","mcdb","1320",FALSE,3999,0.762050870583711,0.794707856888961,0.866718711456567,0.141103026434115,0.0697390285970259
10,1056,"sampled","mcdb","1321",FALSE,4000,0.716322264312471,0.732876578749257,0.846649447230153,0.15686553030303,0.0865212581349367
6,734,"sampled","mcdb","1322",FALSE,4000,0.675825110831384,0.651778447802223,0.825570536940004,0.172024863760218,0.10588629245053
9,588,"sampled","mcdb","1323",FALSE,3997,0.710143242662887,0.719031847908124,0.841953663452496,0.159427819163693,0.0894156192933735
9,840,"sampled","mcdb","1324",FALSE,4000,0.725392462000995,0.727623949411368,0.848607959108007,0.155769047619048,0.0853030367498145
9,439,"sampled","mcdb","1325",FALSE,3999,0.704799866709622,0.723237538974533,0.840971913853021,0.159576910172874,0.0895536497658171
7,1090,"sampled","mcdb","1326",FALSE,3999,0.687038384673255,0.682010502208457,0.832676612131586,0.165646228070779,0.0976661949116838
10,646,"sampled","mcdb","1327",FALSE,4000,0.717761959033448,0.736009382170406,0.849629517871161,0.154287925696594,0.0837255925589008
10,99,"sampled","mcdb","1328",FALSE,3997,0.628084330630071,0.685652879019768,0.817001016585422,0.17138864249197,0.102108703794081
5,23,"sampled","mcdb","1335",FALSE,3277,0.513942247834033,0.536219568813474,0.746314857402971,0.184978307306524,0.118639134663852
6,409,"sampled","mcdb","1336",FALSE,3999,0.657034474784326,0.647686129555295,0.816976047812965,0.176906084711887,0.110941857154733
