"s0","n0","source","dat","site","singletons","n_comparisons","mean_r2","mean_r2_log","mean_cd","mean_prop_off","mean_div"
10,32,"sampled","fia_short","261033020203",FALSE,3983,0.404997641326522,0.525650045389676,0.750985010820227,0.179199096158674,0.115835777278286
10,53,"sampled","fia_short","261033020353",FALSE,4000,0.570188414422669,0.625847675875732,0.791988067216605,0.177259433962264,0.109214465952876
10,79,"sampled","fia_short","261033020646",FALSE,3999,0.616282221371064,0.663682200792312,0.810654826901348,0.175224185793284,0.106121770666203
10,65,"sampled","fia_short","261033020692",FALSE,3998,0.58536905942661,0.640199623803626,0.798226729389523,0.17725785969908,0.110119303657242
11,43,"sampled","fia_short","261041020157",FALSE,3997,0.467401111190998,0.576503796573161,0.773407742673743,0.180385288966725,0.114531373143672
10,65,"sampled","fia_short","261041020419",FALSE,3998,0.589615359940185,0.643914793471215,0.804082248471665,0.174067803132335,0.105604573517341
11,41,"sampled","fia_short","261041020493",FALSE,3998,0.458156302971326,0.570406421836303,0.772386446092012,0.177863321904855,0.113608486170464
10,45,"sampled","fia_short","261041029005",FALSE,3999,0.497897536573201,0.580030059328237,0.777160742804049,0.181689866911172,0.115688468996239
10,45,"sampled","fia_short","261041029011",FALSE,3997,0.52772079024247,0.599901565162911,0.785028725644939,0.177321880299113,0.111198624269894
10,78,"sampled","fia_short","261041029031",FALSE,4000,0.601854734114392,0.657446112797446,0.809121330250272,0.176432692307692,0.107791893382932
10,18,"sampled","fia_short","261041029062",FALSE,231,0.0323615967346519,0.347616569856766,0.634354695865695,0.150553150553151,0.100360829595558
10,91,"sampled","fia_short","261095020010",FALSE,4000,0.629195551461367,0.679569293728557,0.816150139113834,0.17153021978022,0.102379478507754
10,54,"sampled","fia_short","261095020243",FALSE,3999,0.550487423905612,0.624310823536906,0.789448583369322,0.177900956720662,0.109889666806313
10,47,"sampled","fia_short","261097020089",FALSE,4000,0.506724426609897,0.593224246343544,0.782440182596221,0.180393617021277,0.114007344462205
10,29,"sampled","fia_short","261097020315",FALSE,3917,0.316842851907491,0.493604586482516,0.736159562539023,0.178637768172335,0.117117020656354
10,46,"sampled","fia_short","261097020504",FALSE,3999,0.511321763557944,0.599695364007415,0.777907968014393,0.181300759972602,0.115067210263653
10,50,"sampled","fia_short","261097020524",FALSE,3997,0.521528163902966,0.601602050243638,0.785154121212437,0.179599699774831,0.113504540064544
10,45,"sampled","fia_short","261097020527",FALSE,3998,0.499888244474095,0.586276402867926,0.777001045744469,0.181651937079651,0.115872828761881
10,41,"sampled","fia_short","261109020003",FALSE,4000,0.455901474415131,0.569472494326233,0.767081214052427,0.180780487804878,0.115547936779373
11,49,"sampled","fia_short","261109020015",FALSE,3996,0.505303190129689,0.592188768566244,0.783363785337469,0.177652141937856,0.11183468114632
10,52,"sampled","fia_short","261109020111",FALSE,3999,0.564679619468341,0.625482448740884,0.785836284501121,0.176673976186354,0.109192712430974
13,56,"sampled","fia_short","261109020134",FALSE,3998,0.50772305784907,0.604992393267004,0.790796074819781,0.178870685342671,0.113088241122686
10,44,"sampled","fia_short","261109020238",FALSE,3998,0.504664735268437,0.594881453721324,0.775699801869922,0.180192368911729,0.114603373756769
10,37,"sampled","fia_short","261109020265",FALSE,3998,0.471756954268379,0.558941984176948,0.766162331286096,0.179312629287617,0.115008866583195
12,42,"sampled","fia_short","261109020307",FALSE,3998,0.441815156070906,0.556049136976467,0.772113676555725,0.179542152028395,0.116195106826538
11,43,"sampled","fia_short","261109020365",FALSE,3999,0.433663355629629,0.557815763910943,0.769908104732279,0.181679140715411,0.116970970550405
11,64,"sampled","fia_short","261109020372",FALSE,3998,0.546220039548583,0.633781315489637,0.797593529641212,0.180179933716858,0.11311152698859
12,51,"sampled","fia_short","261109020422",FALSE,3998,0.466383902967997,0.580561269199405,0.779677416075694,0.183562369420004,0.118315687075983
10,56,"sampled","fia_short","261109020430",FALSE,4000,0.546008986431451,0.61092338394414,0.788955860601043,0.180116071428571,0.114001605986278
11,45,"sampled","fia_short","261109020470",FALSE,3995,0.460779361767075,0.573167254862743,0.778995632849165,0.180091781393408,0.114863596076033
11,45,"sampled","fia_short","261109020509",FALSE,4000,0.471399981713474,0.573767154104962,0.775522347155643,0.179122222222222,0.114208962769399
11,55,"sampled","fia_short","261109020510",FALSE,3999,0.56531755306695,0.6173247703998,0.792062054195661,0.178058150901362,0.111477810523797
10,70,"sampled","fia_short","261109020522",FALSE,4000,0.622396230507409,0.651685174268748,0.809381424042793,0.175360714285714,0.107630984520154
11,39,"sampled","fia_short","261109020553",FALSE,3998,0.427480240882223,0.554433537822563,0.767039144296733,0.179365323687485,0.115421488622771
10,29,"sampled","fia_short","261153020167",FALSE,3892,0.340525937085404,0.495317562034201,0.739769277140584,0.177685437856611,0.116082302467769
10,72,"sampled","fia_short","261153020281",FALSE,3999,0.581430019640002,0.647436262237529,0.801647055789145,0.176926175988442,0.109049739744386
13,44,"sampled","fia_short","261153020330",FALSE,3998,0.455507312792529,0.574481995239196,0.774050766847783,0.175928873527673,0.112868158887937
10,42,"sampled","fia_short","261153020468",FALSE,3998,0.48829429529537,0.572594564405114,0.774401199059318,0.180876152361895,0.116757011070639
11,63,"sampled","fia_short","261153020505",FALSE,3996,0.559996374317761,0.628523695640398,0.797712622434043,0.176482037593149,0.110296040993154
10,66,"sampled","fia_short","261153020557",FALSE,4000,0.582161790840121,0.644359687656068,0.797621131628504,0.179215909090909,0.11119594444341
10,32,"sampled","fia_short","262013020464",FALSE,3973,0.394217050160835,0.531090602824196,0.748678647213406,0.176771331487541,0.114314445515602
12,57,"sampled","fia_short","262043020002",FALSE,3999,0.559935182934291,0.624589507109032,0.797828570982729,0.174894600843193,0.107036549737088
11,81,"sampled","fia_short","262043020280",FALSE,4000,0.594567364477195,0.663989031926677,0.8033304547298,0.176358024691358,0.107201516661627
10,50,"sampled","fia_short","262053020029",FALSE,4000,0.560871336095597,0.616677559966512,0.792510949642059,0.178725,0.111149319231947
10,34,"sampled","fia_short","262053020030",FALSE,3981,0.360835824496941,0.517803526591026,0.754884160528793,0.182425343912998,0.120031455565247
12,70,"sampled","fia_short","262053020056",FALSE,3999,0.596869676025502,0.65310949506902,0.809005295446209,0.173154002786411,0.104455285090865
