"s0","n0","source","dat","site","singletons","n_comparisons","mean_r2","mean_r2_log","mean_cd","mean_prop_off","mean_div"
9,2596,"sampled","portal_plants","2006_winter",TRUE,3998,0.717917712786366,0.719211793847207,0.847506088058949,0.156357743586739,0.0863395300663123
38,4067,"sampled","portal_plants","2007_winter",TRUE,4000,0.8623935570166,0.884163472619118,0.914166919332356,0.0999639783624293,0.0356941665918287
28,3791,"sampled","portal_plants","2008_winter",TRUE,3998,0.842328423484619,0.862924410401064,0.904697937027016,0.108804732094351,0.0422796330104503
4,6,"sampled","portal_plants","2009_winter",TRUE,1,-1,-0.342181127249949,0.333333333333333,0.166666666666667,0.0958940241505936
5,444,"sampled","portal_plants","2011_winter",TRUE,3999,0.665569320454874,0.618265797895131,0.819851800891239,0.178319917817292,0.11392785440243
28,4372,"sampled","portal_plants","2012_winter",TRUE,3999,0.840903278511863,0.859915450149895,0.903337006835545,0.109113451738964,0.0425017817528389
18,243,"sampled","portal_plants","2013_winter",TRUE,3998,0.728284207466262,0.769725979375415,0.857198900207323,0.149461562056749,0.0778688154014641
34,2614,"sampled","portal_plants","2014_winter",TRUE,3999,0.853255140563925,0.874576255718051,0.910441384376696,0.105177977738505,0.0396682185764047
43,1908,"sampled","portal_plants","2015_winter",TRUE,3999,0.859263106263016,0.87864981001474,0.914051541820626,0.103522342849863,0.0385835444220346
26,265,"sampled","portal_plants","2016_winter",TRUE,3999,0.7282038037422,0.764539974194306,0.864785122683464,0.147527447899711,0.0777110689688723
42,3062,"sampled","portal_plants","2017_winter",TRUE,3998,0.866660393987781,0.890081316700871,0.915285110449479,0.0993872181028463,0.03545392703825
26,1005,"sampled","portal_plants","2018_winter",TRUE,3998,0.808225693899006,0.839419446008904,0.88852668503004,0.123487614453993,0.0542278994064964
41,6500,"sampled","portal_plants","2019_winter",TRUE,3999,0.867498462872082,0.891783733294825,0.917078399888593,0.0951346682824552,0.0324872990559955
17,18019,"sampled","portal_plants","1983_summer",FALSE,3998,0.8003621036931,0.811121656820878,0.881065741563229,0.125812240156373,0.0558241604804472
16,3949,"sampled","portal_plants","1984_summer",FALSE,4000,0.783006044028476,0.801329198165592,0.874056802380526,0.13229152950114,0.0618748323355521
