"sim","source","dat","site","singletons","s0","n0","nparts","skew","shannon","simpson","nsingletons","prop_off_actual","skew_percentile","shannon_percentile","simpson_percentile","skew_percentile_excl","simpson_percentile_excl","nsingletons_percentile","nsingletons_percentile_excl","nsingletons_mean","nsingletons_95","mean_prop_off_actual","prop_off_actual_2p5","prop_off_actual_97p5","prop_off_actual_5","prop_off_actual_95","prop_off_sim_95","mean_prop_off_sim","prop_off_sim_95_1t","skew_range","simpson_range","nsamples","skew_unique","simpson_unique","shannon_unique","skew_2p5","skew_97p5","skew_95","skew_min","simpson_max","shannon_min","shannon_2p5","shannon_97p5","shannon_max","shannon_5","shannon_range","simpson_2p5","simpson_5","simpson_97p5","skew_95_ratio_2t","simpson_95_ratio_2t","skew_95_ratio_1t","simpson_95_ratio_1t","shannon_95_ratio_2t","shannon_95_ratio_1t"
-99,"observed","mcdb","1160_jacknife_8",FALSE,7,52,"11044",0.320273259952338,1.5814343946415,0.761834319526627,2,0,25.9435364041605,34.3239227340267,44.4576523031204,25.9435364041605,44.2496285289747,91.9465081723626,76.0772659732541,0.874591381872214,3,0.159812550005715,0.0576923076923077,0.307692307692308,0.0769230769230769,0.288461538461538,0.346153846153846,0.183629836275496,0.548387096774194,3.138060180867,0.639792899408284,3365,3298,587,3313,-0.379364800617589,1.53971336930879,1.48570516730216,-1.51821243939889,0.855029585798817,0.564368637071843,1.19478008066656,1.87949844666761,1.93819034746739,1.29248127417556,1.37382171039554,0.567381656804734,0.61612426035503,0.83801775147929,0.611549192595841,0.423005780346821,0.957253026890995,0.373410404624277,0.498404094810752,0.470009367595388
-99,"observed","mcdb","1160_jacknife_9",FALSE,7,52,"11044",0.783816582786219,1.44150765823053,0.707100591715976,3,0,58.9301634472511,14.2644873699851,19.5245170876672,58.9004457652303,19.3164933135215,98.4843982169391,92.6002971768202,0.859732540861813,3,0.174625671505315,0.0576923076923077,0.307692307692308,0.0769230769230769,0.288461538461538,0.346153846153846,0.182197965481769,0.566666666666667,3.23969548293623,0.608727810650888,3365,3278,566,3308,-0.40499026407082,1.54863528247678,1.49271694739917,-1.61984774146812,0.856508875739645,0.630357057027883,1.21508635442458,1.88287305708364,1.9437036960071,1.29792949084853,1.31334663897922,0.569526627218935,0.619970414201183,0.840236686390533,0.603027524295885,0.444714459295261,0.960758412406797,0.388578371810449,0.508461881151266,0.491701266057599
-99,"observed","mcdb","1166_jacknife_1",FALSE,4,85,"4410",0.288407011803688,1.152755539443,0.639446366782007,0,0,49.6626686656672,55.7346326836582,54.3103448275862,49.6626686656672,54.2728635682159,86.2818590704648,0,0.146176911544228,1,0.138654202310609,0.0352941176470588,0.317647058823529,0.0470588235294118,0.270588235294118,0.388235294117647,0.188208836758092,0.680851063829787,1.5,0.680968858131488,2668,2628,1454,2667,-0.591328256561118,0.744931851964121,0.735935627973364,-0.75,0.749896193771626,0.191463276776566,0.62047041743213,1.35624798237225,1.38608834413198,0.728677586099417,1.19462506735541,0.307550173010381,0.376664359861592,0.734948096885813,0.89084007235016,0.627632113821138,0.990623751982242,0.548089430894309,0.615906684905695,0.550307185071797
-99,"observed","mcdb","1166_jacknife_10",FALSE,5,85,"20282",0.587224049902035,1.17935257446965,0.630865051903114,1,0,62.7118644067797,23.236741388737,26.0251503553855,62.7118644067797,25.9978130125752,97.1295790049207,78.7315472936031,0.245489338436304,1,0.158971472678738,0.0470588235294118,0.270588235294118,0.0588235294117647,0.258823529411765,0.376470588235294,0.188759527868009,0.607843137254902,2.1466252583998,0.706989619377163,3658,3501,1453,3654,-0.538727309957961,1.04832118432007,1.02206762929625,-1.0733126291999,0.798339100346021,0.254999709096581,0.841910738570999,1.56526384379263,1.60543324487214,0.939238461659511,1.35043353577556,0.420325259515571,0.483072664359862,0.782996539792387,0.739322565998824,0.512979639780736,0.976127645147597,0.44592795614722,0.53564509919121,0.493319193846908
-99,"observed","mcdb","1166_jacknife_2",FALSE,5,85,"20282",0.520691509346185,1.2151863300701,0.648304498269896,1,0,58.4505100634133,26.9920044113593,30.4108078301627,58.4229390681004,30.3832368348497,97.0223325062035,79.4320374965536,0.237937689550593,1,0.148270325499927,0.0470588235294118,0.270588235294118,0.0588235294117647,0.247058823529412,0.364705882352941,0.185419032477856,0.566037735849057,2.12636366314215,0.665190311418685,3627,3503,1423,3623,-0.549036018401142,1.04795031167804,1.0231941129974,-1.05305103394225,0.8,0.349016326288734,0.853404921569898,1.56072929194085,1.6094379124341,0.951768775716697,1.26042158614537,0.425923875432526,0.491487889273356,0.780996539792387,0.751041017941071,0.533791094465252,0.976429941373041,0.463795255930087,0.56118078121313,0.521785047119587
-99,"observed","mcdb","1166_jacknife_3",FALSE,5,85,"20282",0.752870561444962,1.12952884071348,0.597093425605536,1,0,74.260436826099,16.2289189936411,17.0859828587227,74.260436826099,17.0583356372685,97.4288084047553,79.5410561238596,0.231960188001106,1,0.174411683390525,0.0470588235294118,0.305882352941176,0.0705882352941176,0.282352941176471,0.352941176470588,0.181225286795216,0.547169811320755,2.1466252583998,0.623391003460208,3617,3461,1424,3611,-0.469965160419426,1.04411354838686,1.01548912885996,-1.0733126291999,0.799723183391003,0.426127853098162,0.876838178197027,1.56780746310201,1.60874547125697,0.967211538055051,1.18261761815881,0.444290657439446,0.498159169550173,0.783667820069204,0.705329774203326,0.544404973357016,0.973063067196442,0.483747779751332,0.584271090076213,0.542469453652068
-99,"observed","mcdb","1166_jacknife_4",FALSE,5,85,"20282",0.619670666333087,1.08940706053693,0.593494809688581,1,0,65.2689655172414,12.0551724137931,15.6965517241379,65.2413793103448,15.6689655172414,96.9379310344828,79.0344827586207,0.242758620689655,1,0.177421501014199,0.0588235294117647,0.317647058823529,0.0705882352941176,0.294117647058824,0.352941176470588,0.183632702114529,0.591836734693878,2.12538862910913,0.708650519031142,3625,3480,1443,3622,-0.531321163612857,1.05060794471186,1.02368007383774,-1.05207599990923,0.8,0.254999709096581,0.861802526030049,1.56568310840557,1.6094379124341,0.955516420744938,1.35443820333752,0.431889273356401,0.493342560553633,0.782560553633218,0.744301106470017,0.49484375,0.976647774114154,0.432734375,0.519684530930291,0.482799060213903
-99,"observed","mcdb","1166_jacknife_5",FALSE,5,85,"20282",0.591586697854869,1.14669953119466,0.614809688581315,1,0,63.4964266080264,17.7844969763606,20.6157229246839,63.4964266080264,20.5882352941176,97.086311159978,79.1368884002199,0.239692138537658,1,0.16092552469036,0.0470588235294118,0.305882352941176,0.0588235294117647,0.282352941176471,0.352941176470588,0.182196056866519,0.568627450980392,2.1466252583998,0.622283737024221,3638,3510,1414,3636,-0.526386311115632,1.04829371509956,1.02595509551202,-1.0733126291999,0.799446366782007,0.442437198523102,0.86970058427285,1.56237571468676,1.60805303007984,0.952841670687461,1.16561583155674,0.430173010380623,0.492055363321799,0.781750865051903,0.733560746130898,0.564979982206406,0.977938611547328,0.493972419928826,0.594256796846016,0.562116043428572
-99,"observed","mcdb","1166_jacknife_6",FALSE,5,85,"20282",0.593805274368598,1.11059236886328,0.605397923875432,1,0,63.8973226607784,14.0767319900635,18.2997515870825,63.8973226607784,18.2721501518079,97.4054650841844,79.0505106265526,0.236820314656362,1,0.171343215729571,0.0588235294117647,0.294117647058824,0.0705882352941176,0.270588235294118,0.352941176470588,0.179948369079898,0.58,2.13962221822549,0.642214532871972,3623,3506,1417,3621,-0.517931003449772,1.05174542952192,1.02727026880873,-1.06630958902559,0.798062283737024,0.389646318738406,0.844205118866805,1.55709666326801,1.60462451135466,0.945100048983377,1.21497819261625,0.426117647058823,0.486975778546713,0.780193771626298,0.733623169361886,0.551336206896552,0.978481079510682,0.484396551724138,0.586752543159737,0.542828230481328
-99,"observed","mcdb","1166_jacknife_7",FALSE,5,85,"20282",0.755397729516404,1.09832160441335,0.584359861591695,1,0,75.4288876591035,13.7244050913116,14.3054786939679,75.4288876591035,14.3054786939679,97.0116214720531,79.136690647482,0.241560597675706,1,0.183791790097334,0.0470588235294118,0.317647058823529,0.0705882352941176,0.294117647058824,0.364705882352941,0.184566554900876,0.630434782608696,2.1466252583998,0.643321799307958,3614,3478,1434,3613,-0.543542142947891,1.04856552113405,1.01649704239254,-1.0733126291999,0.799446366782007,0.395802179253283,0.852315937948767,1.56059506461564,1.60805303007984,0.952995449048303,1.21225085082656,0.42915570934256,0.493467128027682,0.780532871972318,0.741679367580336,0.54619191049914,0.973532601191083,0.475623924268503,0.584267790931179,0.540364711301209
