"sim","source","dat","site","singletons","s0","n0","nparts","skew","shannon","simpson","nsingletons","prop_off_actual","skew_percentile","shannon_percentile","simpson_percentile","skew_percentile_excl","simpson_percentile_excl","nsingletons_percentile","nsingletons_percentile_excl","nsingletons_mean","nsingletons_95","nsingeltons_median","mean_prop_off_actual","prop_off_actual_2p5","prop_off_actual_97p5","prop_off_actual_5","prop_off_actual_95","prop_off_sim_95","mean_prop_off_sim","prop_off_sim_95_1t"
2490,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",0.430846458944183,2.16731623164748,0.86717889744158,0,0.0911492734478203,14.05,42.5,56.575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2491,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",0.261036137646623,2.199041692826,0.874871084322632,1,0.103038309114927,7.2,51.95,69.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2492,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",0.849371750290664,2.10576550600761,0.847763454783099,0,0.126816380449141,42.875,27.1,31.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2493,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",0.590698026888111,2.29457598637893,0.881900151644973,0,0.0634081902245707,23.075,79.875,80.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2494,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",0.618230508258501,2.25815695380608,0.876528883219411,0,0.0686922060766182,25.425,69.85,71.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2495,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",0.87617964813985,2.39013358189489,0.895246305289775,0,0.0898282694848085,44.55,97,95.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2496,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",0.840728059107476,2.37251372440998,0.891798083584475,0,0.0766182298546896,42.2,95.575,92.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2497,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",1.34247683664693,2.18106028099235,0.852318039120564,0,0.095112285336856,72.925,46.3,36.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2498,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",1.53962539859873,2.07058414763615,0.83336329005024,0,0.138705416116248,82.2,20.1,19.825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2499,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",0.800062444965705,2.27981223504245,0.881093937865697,0,0.0739762219286658,39,76.175,79.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2500,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",0.469887983085048,2.22383151107374,0.87360766705814,0,0.0766182298546896,16.125,59.35,67.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2501,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",1.58049644103277,2.36241685764323,0.884346713806324,0,0.112285336856011,83.7,94.05,83.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2502,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",1.62253230874282,2.21341638388555,0.853469773090957,0,0.108322324966975,85.275,56.4,37.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
