"sim","source","dat","site","singletons","s0","n0","nparts","skew","shannon","simpson","nsingletons","prop_off_actual","mean_po_comparison","n_po_comparisons","skew_percentile","shannon_percentile","simpson_percentile","skew_percentile_excl","simpson_percentile_excl","nsingletons_percentile","nsingletons_percentile_excl","nsingletons_mean","nsingletons_95","nsingeltons_median","mean_prop_off_actual","prop_off_actual_2p5","prop_off_actual_97p5","prop_off_actual_5","prop_off_actual_95","mean_po_comparison_percentile","prop_off_sim_95","mean_prop_off_sim","prop_off_sim_95_1t","skew_range","simpson_range","nsamples","skew_unique","simpson_unique","shannon_unique","skew_2p5","skew_97p5","skew_95","skew_min","simpson_max","shannon_min","shannon_2p5","shannon_97p5","shannon_max","shannon_5","shannon_range","simpson_2p5","simpson_5","simpson_97p5","mean_po_comparison_95","mean_po_comparison_min","mean_po_comparison_max","skew_95_ratio_2t","simpson_95_ratio_2t","skew_95_ratio_1t","simpson_95_ratio_1t","shannon_95_ratio_2t","shannon_95_ratio_1t","mean_po_comparison_95_ratio_1t"
-99,"observed","mcdb","1011",TRUE,15,128,"136079959",1.40436172874392,1.8288792970861,0.7845458984375,8,0,0.2671015625,1000,60.425,0.975,3.925,60.425,3.925,99.75,99.225,2.021,6,2,0.263978515625,0.125,0.4140625,0.140625,0.390625,98.525,0.2890625,0.164876953125,0.432432432432432,4.06552779290383,0.5068359375,4000,3995,1102,3997,0.134887967255995,2.6382651030625,2.4744910783832,-0.938014025223991,0.9278564453125,1.18159291101683,1.91792825785285,2.55183310280146,2.66358269742658,1.99715215951448,1.48198978640975,0.767919921875,0.793701171875,0.912600708007812,0.22425234375,0.1193828125,0.532234375,0.615756984905137,0.285458815028902,0.839375667179928,0.264691714836224,0.427739010593517,0.44968632309308,0.254012678588324
-99,"observed","mcdb","1012",TRUE,19,363,"398885915040228",1.38184149243912,2.27650053608345,0.862600459895727,3,0,0.176754820936639,1000,56.575,5.675,10.45,56.575,10.425,94.125,86.375,1.077,4,1,0.175683195592287,0.0798898071625344,0.292011019283747,0.0909090909090909,0.275482093663912,91.3,0.236914600550964,0.140157713498623,0.470588235294118,4.02718076048038,0.277227572494289,4000,4000,2776,4000,0.31225634388247,2.70125798863746,2.45389936696644,-0.562355842978653,0.936350734998368,1.74600972607761,2.20791499414527,2.75473083569249,2.84785260286386,2.26545790774786,1.10184287678624,0.831892174942513,0.847179533881262,0.927411227223399,0.190996005509642,0.102236914600551,0.366804407713499,0.593219372767867,0.344551053928278,0.748974379184634,0.321653435532439,0.496273881755376,0.528564196752511,0.335487515358504
-99,"observed","mcdb","1013",TRUE,21,1360,"14093590611163174222001538",3.64793768879088,1.24267453653953,0.524683174740485,8,0,0.509536764705882,1000,99.95,0,0,99.95,0,100,100,0.33425,2,0,0.510680147058823,0.388970588235294,0.605147058823529,0.411764705882353,0.593382352941176,100,0.2125,0.125086029411765,0.39443535188216,3.9320316734765,0.312670847750865,4000,4000,3860,4000,0.313330754341571,2.74466464068436,2.4674220586596,-0.156100067837499,0.942523788927336,1.69777573840023,2.3672155360167,2.83471600095122,2.92788541838833,2.40865413351707,1.2301096799881,0.858564500432526,0.869967073961938,0.932711370025952,0.170411176470588,0.0925963235294118,0.417741176470588,0.618340361483692,0.237140335041742,0.667217953556695,0.232054620657219,0.38004778967274,0.42210161688695,0.239323649866462
-99,"observed","mcdb","1014",TRUE,19,1826,"135073397527730212720621980",3.2663174700528,1.47205683395003,0.61896555654061,6,0,0.418655531215772,1000,99.9,0,0,99.9,0,100,100,0.20075,1,0,0.417674014238773,0.299561883899233,0.512609529025192,0.32420591456736,0.500547645125958,100,0.21473165388828,0.125737622795622,0.555537459283387,3.64108670711364,0.203281312044954,4000,4000,3926,4000,0.257761409359303,2.6073161415489,2.34484945592937,-0.259945832081149,0.93578935876934,1.93669810007218,2.2682007936719,2.73460918684356,2.82276550490472,2.32373389317793,0.886067404832542,0.847778738172845,0.86016589508487,0.926022335883412,0.170927272727273,0.0909271631982475,0.303541073384447,0.6452894207653,0.384903053426105,0.715389524484956,0.372013850775159,0.526380262526204,0.563198249935742,0.376269405228303
-99,"observed","mcdb","1015",TRUE,16,2045,"2429763657897987629383882",2.94436865453812,1.31787149664194,0.565519335728505,3,0,0.437784841075795,1000,99.875,0,0,99.875,0,100,99.9,0.12775,1,0,0.439985941320293,0.293875305623472,0.546210268948655,0.325672371638142,0.533496332518337,100,0.229828850855746,0.131331051344743,0.484061393152302,3.45104225584514,0.306404672377616,4000,4000,3951,4000,0.166185730323795,2.43161567780067,2.21525256171441,-0.288550919764311,0.927215882257997,1.61896513240713,2.08650332543696,2.58340200360352,2.68671121555735,2.14447708461514,1.06774608315022,0.815956611928432,0.832827230827171,0.914704467333409,0.180231858190709,0.0961779951100245,0.388901222493888,0.656448046569075,0.322279208860364,0.725520957397133,0.308052258793562,0.465371576639773,0.507830597085805,0.287144494244252
-99,"observed","mcdb","1016",TRUE,13,1824,"561247551690887108885",2.62469582744444,1.35089618249504,0.571532827408433,1,0,0.391095942982456,1000,99.775,0,0,99.775,0,99.275,91.675,0.09075,1,0,0.389751096491228,0.22312225877193,0.482456140350877,0.261485745614035,0.474232456140351,100,0.245065789473684,0.14048711622807,0.534228187919463,3.29889236212279,0.315024815327793,4000,4000,3955,4000,0.0532891127753588,2.24481597328959,2.01852504468243,-0.579847839539003,0.912542200484765,1.43980526002165,1.86639777165682,2.39823109419625,2.48624346277242,1.93098351627535,1.04643820275076,0.773649554430209,0.795781033587258,0.898879117252424,0.194737554824561,0.101879385964912,0.375485197368421,0.664322026895117,0.397522851309061,0.787650095545832,0.370641172429586,0.508231944458263,0.530618955842262,0.339386683284675
-99,"observed","mcdb","1017",TRUE,20,2009,"4200331913177938962368347478",3.03567723674015,1.58962664909919,0.67468963085726,3,0,0.41795868591339,1000,99.325,0,0,99.325,0,99.975,99.55,0.2025,1,0,0.417199477351916,0.285204081632653,0.530126928820309,0.306620209059233,0.514683922349428,100,0.214534594325535,0.125152243760293,0.575899843505477,4.00347188744555,0.218088289110154,4000,4000,3943,4000,0.261554602379414,2.6701764067271,2.3838766756376,-0.403554040313203,0.9387660951304,1.98489229949217,2.31697250328781,2.78534981806196,2.86776264422828,2.37293186205024,0.882870344736117,0.852463478805306,0.86516611039273,0.929791300025941,0.171275335988054,0.0911881533101045,0.331108511697362,0.601633250354738,0.354571176362327,0.696253350670921,0.337477931703593,0.530516533448799,0.560479559799851,0.333807365145228
-99,"observed","mcdb","1018",TRUE,36,2028,"1496292091053117332492619743888181486",4.45976008740841,1.65797307778587,0.685773918591397,22,0,0.511305719921105,1000,99.975,0,0,99.975,0,100,100,0.7075,3,0,0.512293022682446,0.401873767258383,0.595167652859961,0.424556213017751,0.583333333333333,100,0.176528599605523,0.106472377463202,0.524822695035461,4.36229543462106,0.0830824084124039,4000,4000,3891,4000,0.633743363630448,3.09417010024967,2.80932065401536,0.121366591168648,0.962792599854502,2.64318794262454,2.9170805842101,3.31472752757992,3.41627423967903,2.96227506549565,0.773086297054491,0.917123802271162,0.923867579722154,0.95709445232232,0.142213017751479,0.0791434911242604,0.278379191321499,0.564021115372474,0.481096429616622,0.616178822166411,0.46851097453907,0.514362943548331,0.587255492579744,0.316557356762777
-99,"observed","mcdb","1019",TRUE,21,2074,"42060436565498119352824388882",3.5166731639172,1.3826540362223,0.59617721916849,7,0,0.455914657666345,1000,99.925,0,0,99.925,0,100,100,0.22025,1,0,0.454797974927676,0.338452266152363,0.547745901639344,0.360655737704918,0.534739633558341,100,0.213645130183221,0.12353679065861,0.590852713178294,4.11434181269473,0.220995304867445,4000,4000,3924,4000,0.287986969789769,2.7140367250527,2.42756346420607,-0.463782240888903,0.9403641912683,1.96436674229767,2.36899397461077,2.83422287630382,2.92528786548262,2.42148173675405,0.960921123184956,0.860626770903755,0.873038045545297,0.933220933930586,0.168551639344262,0.0906677917068467,0.335622950819672,0.589656831082288,0.328487354382363,0.702748054664241,0.304649665581745,0.484148896790882,0.524294987978536,0.317951448418127
-99,"observed","mcdb","1020",TRUE,19,2054,"1038438178746281286228875170",2.88640168879015,1.64731586631305,0.706202256693426,6,0,0.353363680623174,1000,99.375,0,0,99.375,0,100,100,0.17175,1,0,0.35139788218111,0.238546738072055,0.460564751703992,0.259006815968841,0.445472249269718,99.975,0.218597857838364,0.127094577928805,0.542553191489362,3.61385210317451,0.19440680971131,4000,4000,3953,4000,0.25121586742969,2.54374316634795,2.32217464043998,-0.163300892273168,0.934860044618096,1.88853945082931,2.26912300279219,2.74028782210511,2.82032125418726,2.32363867040694,0.93178180335795,0.849480755246134,0.86046863696741,0.926416442043406,0.170076095423564,0.0916635832521908,0.379964946445959,0.63437219716447,0.395745843016097,0.687763489416137,0.38265844576718,0.505660035015637,0.533046022137777,0.271981066279841
