"rank","abund","site","dat","singletons","sim","source"
3,1,"12119000010","fia_small",FALSE,-99,"observed"
4,1,"12119000010","fia_small",FALSE,-99,"observed"
5,1,"12119000010","fia_small",FALSE,-99,"observed"
1,1,"12119000012","fia_small",FALSE,-99,"observed"
2,1,"12119000012","fia_small",FALSE,-99,"observed"
3,1,"12119000012","fia_small",FALSE,-99,"observed"
4,1,"12119000012","fia_small",FALSE,-99,"observed"
5,1,"12119000012","fia_small",FALSE,-99,"observed"
1,1,"12119000057","fia_small",FALSE,-99,"observed"
2,1,"12119000057","fia_small",FALSE,-99,"observed"
1,1,"12119000067","fia_small",FALSE,-99,"observed"
1,1,"12119000069","fia_small",FALSE,-99,"observed"
1,1,"12119000081","fia_small",FALSE,-99,"observed"
2,1,"12119000081","fia_small",FALSE,-99,"observed"
1,1,"12119000088","fia_small",FALSE,-99,"observed"
2,1,"12119000088","fia_small",FALSE,-99,"observed"
3,1,"12119000088","fia_small",FALSE,-99,"observed"
4,1,"12119000088","fia_small",FALSE,-99,"observed"
1,1,"12131000004","fia_small",FALSE,-99,"observed"
2,1,"12131000004","fia_small",FALSE,-99,"observed"
1,1,"12131000014","fia_small",FALSE,-99,"observed"
2,1,"12131000014","fia_small",FALSE,-99,"observed"
1,1,"12131000034","fia_small",FALSE,-99,"observed"
1,1,"12131000060","fia_small",FALSE,-99,"observed"
2,1,"12131000060","fia_small",FALSE,-99,"observed"
3,1,"12131000060","fia_small",FALSE,-99,"observed"
1,1,"12131000067","fia_small",FALSE,-99,"observed"
2,1,"12131000067","fia_small",FALSE,-99,"observed"
3,1,"12131000067","fia_small",FALSE,-99,"observed"
4,1,"12131000067","fia_small",FALSE,-99,"observed"
1,1,"12131000070","fia_small",FALSE,-99,"observed"
2,1,"12131000070","fia_small",FALSE,-99,"observed"
1,1,"12131000072","fia_small",FALSE,-99,"observed"
2,1,"12131000072","fia_small",FALSE,-99,"observed"
3,1,"12131000072","fia_small",FALSE,-99,"observed"
4,1,"12131000072","fia_small",FALSE,-99,"observed"
1,1,"12131000085","fia_small",FALSE,-99,"observed"
2,1,"12131000085","fia_small",FALSE,-99,"observed"
3,1,"12131000085","fia_small",FALSE,-99,"observed"
1,1,"12131000119","fia_small",FALSE,-99,"observed"
2,1,"12131000119","fia_small",FALSE,-99,"observed"
1,1,"13001000059","fia_small",FALSE,-99,"observed"
1,1,"13005000005","fia_small",FALSE,-99,"observed"
1,1,"13005000036","fia_small",FALSE,-99,"observed"
1,1,"13005000047","fia_small",FALSE,-99,"observed"
2,1,"13005000047","fia_small",FALSE,-99,"observed"
3,1,"13005000047","fia_small",FALSE,-99,"observed"
4,1,"13005000047","fia_small",FALSE,-99,"observed"
1,1,"13005000065","fia_small",FALSE,-99,"observed"
2,1,"13005000065","fia_small",FALSE,-99,"observed"
1,1,"13005000066","fia_small",FALSE,-99,"observed"
1,1,"13005000094","fia_small",FALSE,-99,"observed"
2,1,"13005000094","fia_small",FALSE,-99,"observed"
3,1,"13005000094","fia_small",FALSE,-99,"observed"
1,1,"13013000077","fia_small",FALSE,-99,"observed"
2,1,"13013000077","fia_small",FALSE,-99,"observed"
3,1,"13013000077","fia_small",FALSE,-99,"observed"
1,1,"13017000009","fia_small",FALSE,-99,"observed"
2,1,"13017000009","fia_small",FALSE,-99,"observed"
3,1,"13017000009","fia_small",FALSE,-99,"observed"
1,1,"13017000028","fia_small",FALSE,-99,"observed"
2,1,"13017000028","fia_small",FALSE,-99,"observed"
