"source","dat","site","singletons","s0","n0","sim","nparts","real_po","real_r2","best_po_sim","sim_pos_from_best","sim_r2_from_best","ncomparisons","real_po_percentile","real_po_percentile_excl","real_r2_percentile","real_r2_percentile_excl"
"observed","mcdb","1511",TRUE,11,44,-99,"6751",0.0909090909090909,0.914634146341463,1773,0.129556067681485,0.690046361202057,2998,36.5577051367578,16.8112074716478,80.4202801867912,80.3869246164109
"observed","mcdb","1512",TRUE,11,64,-99,"116792",0.1875,0.861369863013699,2729,0.130237408018269,0.713965375063105,3941,90.0786602385181,85.5620400913474,53.20984521695,53.20984521695
"observed","mcdb","1513",TRUE,6,51,-99,"5942",0.0784313725490196,0.948608137044968,2487,0.132354614771822,0.603465072751639,2929,23.7623762376238,11.1642198702629,89.6210310686241,89.6210310686241
"observed","mcdb","1514",TRUE,6,24,-99,"199",0.0833333333333333,0.863636363636364,180,0.133417508417508,-Inf,198,34.3434343434343,10.6060606060606,71.2121212121212,70.2020202020202
"observed","mcdb","1515",TRUE,8,50,-99,"12450",0.26,0.665312753858652,3185,0.13099161607401,0.724354487162541,3459,96.877710320902,95.2298352124891,17.5195143104944,17.5195143104944
"observed","mcdb","1516",TRUE,8,70,-99,"97539",0.342857142857143,0.583699794781589,1415,0.128637160385627,0.722018368549375,3912,99.4120654396728,99.3609406952965,11.5541922290389,11.5541922290389
"observed","mcdb","1517",TRUE,9,301,-99,"6497669574",0.116279069767442,0.915643913920646,2398,0.116962795516155,0.81020584455124,3999,59.2148037009252,55.8139534883721,65.3663415853963,65.3663415853963
"observed","mcdb","1518",TRUE,5,32,-99,"480",0.21875,0.792263610315186,422,0.132633089770355,0.345771581315322,479,93.5281837160751,88.3089770354906,43.4237995824635,43.2150313152401
"observed","mcdb","1519",TRUE,4,11,-99,"11",0.0909090909090909,0.880597014925373,6,0.127272727272727,-0.077615352533254,10,70,0,100,90
"observed","mcdb","1520",TRUE,3,42,-99,"147",0.357142857142857,0.642998027613412,104,0.134377038486628,-Inf,146,100,99.3150684931507,28.7671232876712,28.0821917808219
"observed","mcdb","1521",TRUE,1,2,-99,"1",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"observed","mcdb","1522",TRUE,1,4,-99,"1",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"observed","mcdb","1523",TRUE,1,9,-99,"1",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"observed","mcdb","1524",TRUE,4,27,-99,"150",0.296296296296296,0.69750603378922,110,0.134476758637832,-0.387176164230377,149,98.6577181208054,97.3154362416107,35.5704697986577,34.8993288590604
"observed","mcdb","1525",TRUE,5,16,-99,"37",0.25,0.713541666666667,7,0.133680555555556,-0.0908977910360109,36,97.2222222222222,91.6666666666667,44.4444444444444,41.6666666666667
"observed","mcdb","1526",TRUE,8,49,-99,"11018",0.346938775510204,0.625916385971864,267,0.129949467825408,0.699413945988717,3344,99.3122009569378,99.072966507177,15.1016746411483,15.1016746411483
"observed","mcdb","1527",TRUE,8,24,-99,"186",0.166666666666667,0.86046511627907,41,0.131756756756757,-Inf,185,83.7837837837838,66.4864864864865,68.6486486486486,67.5675675675676
"observed","mcdb","1528",TRUE,10,62,-99,"79725",0.258064516129032,0.763299170326989,3719,0.127746911020814,0.719240414438509,3890,97.3007712082262,96.3496143958869,27.6606683804627,27.6606683804627
"observed","mcdb","1529",TRUE,1,2,-99,"1",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"observed","mcdb","1530",TRUE,3,17,-99,"24",0.0588235294117647,0.960526315789474,12,0.135549872122762,-1.37074069379795,23,26.0869565217391,0,100,95.6521739130435
"observed","mcdb","1531",TRUE,2,14,-99,"7",0.142857142857143,-3,3,0.142857142857143,-Inf,6,66.6666666666667,33.3333333333333,33.3333333333333,16.6666666666667
